Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																																
Республики Беларусь, за период с 29.03.1995 по 31.12.1995																																																
																																																
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 азербайджанский манат (AZM)	1 армянский драм (AMD)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 румынский лей (ROL)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 таджикский рубль (TJR)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 грузинских купонов (GEK)	10 иен (JPY)	10 испанских песет (ESP)	10 ливанских фунтов (LBP)	10 португальских эскудо (PTE)	10 турецких лир (TRL)	10 украинских карбованцев (UAK)	100 итальянских лир (ITL)
31.10.1995	 8 708,16 	 1 172,33 	 1,50 	 15,00 			 8 900,00 	 2 123,73 	 11 500,00 	 18 662,77 	 179,21 	 184,00 	 8 415,35 	 38 346,12 	 1 050,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 252,60 	 7 366,36 	 1 861,44 		 2,55 		 17 202,69 	 8 127,78 		 50,00 	 23,00 	 45,00 	 2 734,32 	 2 344,47 	 18 141,66 		 1 736,54 	 10 135,28 	 15 030,71 	 1 032,43 	 4 012,56 	 497,21 		 1 134,12 	 944,60 	 71,61 	 779,13 	 2,27 	 0,66 	 718,95 
01.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
02.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
03.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
04.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
05.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
06.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
07.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
08.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
09.11.1995	 8 729,12 	 1 158,40 	 1,50 	 15,00 			 8 900,00 	 2 102,57 	 11 500,00 	 18 588,86 	 178,02 	 184,00 	 8 591,71 	 38 320,56 	 1 053,00 	 21 657,00 	 2 875,00 	 2 534,00 	 8 154,87 	 7 272,04 	 1 844,43 		 2,55 		 17 276,87 	 8 127,21 		 50,00 	 23,00 	 45,00 	 2 701,37 	 2 347,13 	 18 127,08 		 1 726,26 	 10 100,12 	 14 974,15 	 1 016,80 	 3 964,15 	 495,69 		 1 127,45 	 940,73 	 71,65 	 773,53 	 2,24 	 0,64 	 720,26 
10.11.1995	 8 530,13 	 1 149,08 	 1,50 	 15,00 			 9 229,00 	 2 085,49 	 11 500,00 	 18 574,81 	 177,99 	 181,00 	 8 493,35 	 38 320,56 	 1 050,00 	 21 495,00 	 2 875,00 	 2 529,00 	 8 084,36 	 7 221,80 	 1 837,50 		 2,54 		 17 184,70 	 8 135,83 		 47,00 	 23,00 	 45,00 	 2 695,10 	 2 348,47 	 18 156,84 		 1 720,06 	 10 025,28 	 14 870,66 	 1 015,36 	 3 932,97 	 491,10 		 1 125,30 	 938,39 	 71,76 	 770,21 	 2,22 	 0,64 	 721,85 
11.11.1995	 8 530,13 	 1 149,08 	 1,50 	 15,00 			 9 229,00 	 2 085,49 	 11 500,00 	 18 574,81 	 177,99 	 181,00 	 8 493,35 	 38 320,56 	 1 050,00 	 21 495,00 	 2 875,00 	 2 529,00 	 8 084,36 	 7 221,80 	 1 837,50 		 2,54 		 17 184,70 	 8 135,83 		 47,00 	 23,00 	 45,00 	 2 695,10 	 2 348,47 	 18 156,84 		 1 720,06 	 10 025,28 	 14 870,66 	 1 015,36 	 3 932,97 	 491,10 		 1 125,30 	 938,39 	 71,76 	 770,21 	 2,22 	 0,64 	 721,85 
12.11.1995	 8 530,13 	 1 149,08 	 1,50 	 15,00 			 9 229,00 	 2 085,49 	 11 500,00 	 18 574,81 	 177,99 	 181,00 	 8 493,35 	 38 320,56 	 1 050,00 	 21 495,00 	 2 875,00 	 2 529,00 	 8 084,36 	 7 221,80 	 1 837,50 		 2,54 		 17 184,70 	 8 135,83 		 47,00 	 23,00 	 45,00 	 2 695,10 	 2 348,47 	 18 156,84 		 1 720,06 	 10 025,28 	 14 870,66 	 1 015,36 	 3 932,97 	 491,10 		 1 125,30 	 938,39 	 71,76 	 770,21 	 2,22 	 0,64 	 721,85 
13.11.1995	 8 530,13 	 1 149,08 	 1,50 	 15,00 			 9 229,00 	 2 085,49 	 11 500,00 	 18 574,81 	 177,99 	 181,00 	 8 493,35 	 38 320,56 	 1 050,00 	 21 495,00 	 2 875,00 	 2 529,00 	 8 084,36 	 7 221,80 	 1 837,50 		 2,54 		 17 184,70 	 8 135,83 		 47,00 	 23,00 	 45,00 	 2 695,10 	 2 348,47 	 18 156,84 		 1 720,06 	 10 025,28 	 14 870,66 	 1 015,36 	 3 932,97 	 491,10 		 1 125,30 	 938,39 	 71,76 	 770,21 	 2,22 	 0,64 	 721,85 
14.11.1995	 8 530,13 	 1 149,08 	 1,50 	 15,00 			 9 229,00 	 2 085,49 	 11 500,00 	 18 574,81 	 177,99 	 181,00 	 8 493,35 	 38 320,56 	 1 050,00 	 21 495,00 	 2 875,00 	 2 529,00 	 8 084,36 	 7 221,80 	 1 837,50 		 2,54 		 17 184,70 	 8 135,83 		 47,00 	 23,00 	 45,00 	 2 695,10 	 2 348,47 	 18 156,84 		 1 720,06 	 10 025,28 	 14 870,66 	 1 015,36 	 3 932,97 	 491,10 		 1 125,30 	 938,39 	 71,76 	 770,21 	 2,22 	 0,64 	 721,85 
15.11.1995	 8 511,58 	 1 152,36 	 1,50 	 15,00 			 9 229,00 	 2 092,43 	 11 500,00 	 18 411,78 	 178,35 	 181,00 	 8 496,49 	 38 307,79 	 1 047,00 	 21 455,00 	 2 875,00 	 2 522,00 	 8 108,30 	 7 241,36 	 1 837,06 		 2,53 		 17 092,75 	 8 140,44 		 45,00 	 23,00 	 45,00 	 2 702,07 	 2 350,30 	 17 926,73 		 1 721,61 	 10 062,12 	 14 871,33 	 1 018,87 	 3 943,76 	 490,49 		 1 128,00 	 941,66 	 71,79 	 771,19 	 2,20 	 0,64 	 720,66 
16.11.1995	 8 511,58 	 1 152,36 	 1,50 	 15,00 			 9 229,00 	 2 092,43 	 11 500,00 	 18 411,78 	 178,35 	 181,00 	 8 496,49 	 38 307,79 	 1 047,00 	 21 455,00 	 2 875,00 	 2 522,00 	 8 108,30 	 7 241,36 	 1 837,06 		 2,53 		 17 092,75 	 8 140,44 		 45,00 	 23,00 	 45,00 	 2 702,07 	 2 350,30 	 17 926,73 		 1 721,61 	 10 062,12 	 14 871,33 	 1 018,87 	 3 943,76 	 490,49 		 1 128,00 	 941,66 	 71,79 	 771,19 	 2,20 	 0,64 	 720,66 
17.11.1995	 8 496,49 	 1 160,85 	 1,50 	 15,00 			 9 229,00 	 2 107,58 	 11 500,00 	 18 429,49 	 178,63 	 181,00 	 8 481,45 	 38 346,12 	 1 047,00 	 21 455,00 	 2 875,00 	 2 519,00 	 8 171,10 	 7 300,66 	 1 851,40 		 2,53 		 17 285,44 	 8 141,02 		 45,00 	 23,00 	 45,00 	 2 732,76 	 2 371,09 	 17 890,48 		 1 738,39 	 10 093,92 	 14 950,60 	 1 021,13 	 3 974,84 	 493,44 		 1 132,11 	 949,75 	 71,81 	 779,24 	 2,19 	 0,64 	 723,16 
18.11.1995	 8 496,49 	 1 160,85 	 1,50 	 15,00 			 9 229,00 	 2 107,58 	 11 500,00 	 18 429,49 	 178,63 	 181,00 	 8 481,45 	 38 346,12 	 1 047,00 	 21 455,00 	 2 875,00 	 2 519,00 	 8 171,10 	 7 300,66 	 1 851,40 		 2,53 		 17 285,44 	 8 141,02 		 45,00 	 23,00 	 45,00 	 2 732,76 	 2 371,09 	 17 890,48 		 1 738,39 	 10 093,92 	 14 950,60 	 1 021,13 	 3 974,84 	 493,44 		 1 132,11 	 949,75 	 71,81 	 779,24 	 2,19 	 0,64 	 723,16 
19.11.1995	 8 496,49 	 1 160,85 	 1,50 	 15,00 			 9 229,00 	 2 107,58 	 11 500,00 	 18 429,49 	 178,63 	 181,00 	 8 481,45 	 38 346,12 	 1 047,00 	 21 455,00 	 2 875,00 	 2 519,00 	 8 171,10 	 7 300,66 	 1 851,40 		 2,53 		 17 285,44 	 8 141,02 		 45,00 	 23,00 	 45,00 	 2 732,76 	 2 371,09 	 17 890,48 		 1 738,39 	 10 093,92 	 14 950,60 	 1 021,13 	 3 974,84 	 493,44 		 1 132,11 	 949,75 	 71,81 	 779,24 	 2,19 	 0,64 	 723,16 
20.11.1995	 8 496,49 	 1 160,85 	 1,50 	 15,00 			 9 229,00 	 2 107,58 	 11 500,00 	 18 429,49 	 178,63 	 181,00 	 8 481,45 	 38 346,12 	 1 047,00 	 21 455,00 	 2 875,00 	 2 519,00 	 8 171,10 	 7 300,66 	 1 851,40 		 2,53 		 17 285,44 	 8 141,02 		 45,00 	 23,00 	 45,00 	 2 732,76 	 2 371,09 	 17 890,48 		 1 738,39 	 10 093,92 	 14 950,60 	 1 021,13 	 3 974,84 	 493,44 		 1 132,11 	 949,75 	 71,81 	 779,24 	 2,19 	 0,64 	 723,16 
21.11.1995	 8 496,49 	 1 160,85 	 1,50 	 15,00 			 9 229,00 	 2 107,58 	 11 500,00 	 18 429,49 	 178,63 	 181,00 	 8 481,45 	 38 346,12 	 1 047,00 	 21 455,00 	 2 875,00 	 2 519,00 	 8 171,10 	 7 300,66 	 1 851,40 		 2,53 		 17 285,44 	 8 141,02 		 45,00 	 23,00 	 45,00 	 2 732,76 	 2 371,09 	 17 890,48 		 1 738,39 	 10 093,92 	 14 950,60 	 1 021,13 	 3 974,84 	 493,44 		 1 132,11 	 949,75 	 71,81 	 779,24 	 2,19 	 0,64 	 723,16 
22.11.1995	 8 559,73 	 1 160,39 	 1,50 	 15,00 			 9 141,00 	 2 106,84 	 11 500,00 	 18 467,96 	 177,66 	 180,00 	 8 508,43 	 38 365,30 	 1 049,00 	 21 616,00 	 2 875,00 	 2 512,00 	 8 165,87 	 7 293,71 	 1 848,82 		 2,50 		 17 239,83 	 8 141,59 		 43,00 	 23,00 	 45,00 	 2 730,94 	 2 367,23 	 17 884,91 		 1 755,78 	 10 107,22 	 14 964,22 	 1 021,50 	 3 972,37 	 492,93 		 1 130,67 	 949,24 	 71,85 	 779,77 	 2,17 	 0,65 	 722,66 
23.11.1995	 8 559,73 	 1 160,39 	 1,50 	 15,00 			 9 141,00 	 2 106,84 	 11 500,00 	 18 467,96 	 177,66 	 180,00 	 8 508,43 	 38 365,30 	 1 049,00 	 21 616,00 	 2 875,00 	 2 512,00 	 8 165,87 	 7 293,71 	 1 848,82 		 2,50 		 17 239,83 	 8 141,59 		 43,00 	 23,00 	 45,00 	 2 730,94 	 2 367,23 	 17 884,91 		 1 755,78 	 10 107,22 	 14 964,22 	 1 021,50 	 3 972,37 	 492,93 		 1 130,67 	 949,24 	 71,85 	 779,77 	 2,17 	 0,65 	 722,66 
24.11.1995	 8 480,83 	 1 158,34 	 1,50 	 15,00 			 9 141,00 	 2 103,72 	 11 500,00 	 18 518,52 	 178,43 	 175,00 	 8 502,77 	 38 371,71 	 1 045,00 	 21 535,00 	 2 875,00 	 2 512,00 	 8 150,25 	 7 278,94 	 1 848,19 		 2,50 		 17 169,30 	 8 145,05 		 41,00 	 23,00 	 45,00 	 2 728,35 	 2 365,62 	 17 977,18 		 1 764,89 	 10 108,11 	 14 948,65 	 1 019,32 	 3 964,83 	 492,72 		 1 143,08 	 952,03 	 71,88 	 779,61 	 2,15 	 0,65 	 722,79 
25.11.1995	 8 480,83 	 1 158,34 	 1,50 	 15,00 			 9 141,00 	 2 103,72 	 11 500,00 	 18 518,52 	 178,43 	 175,00 	 8 502,77 	 38 371,71 	 1 045,00 	 21 535,00 	 2 875,00 	 2 512,00 	 8 150,25 	 7 278,94 	 1 848,19 		 2,50 		 17 169,30 	 8 145,05 		 41,00 	 23,00 	 45,00 	 2 728,35 	 2 365,62 	 17 977,18 		 1 764,89 	 10 108,11 	 14 948,65 	 1 019,32 	 3 964,83 	 492,72 		 1 143,08 	 952,03 	 71,88 	 779,61 	 2,15 	 0,65 	 722,79 
26.11.1995	 8 480,83 	 1 158,34 	 1,50 	 15,00 			 9 141,00 	 2 103,72 	 11 500,00 	 18 518,52 	 178,43 	 175,00 	 8 502,77 	 38 371,71 	 1 045,00 	 21 535,00 	 2 875,00 	 2 512,00 	 8 150,25 	 7 278,94 	 1 848,19 		 2,50 		 17 169,30 	 8 145,05 		 41,00 	 23,00 	 45,00 	 2 728,35 	 2 365,62 	 17 977,18 		 1 764,89 	 10 108,11 	 14 948,65 	 1 019,32 	 3 964,83 	 492,72 		 1 143,08 	 952,03 	 71,88 	 779,61 	 2,15 	 0,65 	 722,79 
27.11.1995	 8 480,83 	 1 158,34 	 1,50 	 15,00 			 9 141,00 	 2 103,72 	 11 500,00 	 18 518,52 	 178,43 	 175,00 	 8 502,77 	 38 371,71 	 1 045,00 	 21 535,00 	 2 875,00 	 2 512,00 	 8 150,25 	 7 278,94 	 1 848,19 		 2,50 		 17 169,30 	 8 145,05 		 41,00 	 23,00 	 45,00 	 2 728,35 	 2 365,62 	 17 977,18 		 1 764,89 	 10 108,11 	 14 948,65 	 1 019,32 	 3 964,83 	 492,72 		 1 143,08 	 952,03 	 71,88 	 779,61 	 2,15 	 0,65 	 722,79 
28.11.1995	 8 480,83 	 1 158,34 	 1,50 	 15,00 			 9 141,00 	 2 103,72 	 11 500,00 	 18 518,52 	 178,43 	 175,00 	 8 502,77 	 38 371,71 	 1 045,00 	 21 535,00 	 2 875,00 	 2 512,00 	 8 150,25 	 7 278,94 	 1 848,19 		 2,50 		 17 169,30 	 8 145,05 		 41,00 	 23,00 	 45,00 	 2 728,35 	 2 365,62 	 17 977,18 		 1 764,89 	 10 108,11 	 14 948,65 	 1 019,32 	 3 964,83 	 492,72 		 1 143,08 	 952,03 	 71,88 	 779,61 	 2,15 	 0,65 	 722,79 
29.11.1995	 8 575,05 	 1 136,20 	 1,50 	 15,00 			 9 229,00 	 2 067,04 	 11 500,00 	 18 417,68 	 177,69 	 179,00 	 8 485,21 	 38 282,29 	 1 045,00 	 21 535,00 	 2 875,00 	 2 509,00 	 7 994,99 	 7 142,86 	 1 817,46 		 2,50 		 17 169,30 	 8 135,83 		 41,00 	 23,00 	 45,00 	 2 691,57 	 2 328,55 	 17 851,60 		 1 756,91 	 9 930,92 	 14 827,23 	 1 001,04 	 3 891,45 	 488,12 		 1 132,39 	 939,81 	 71,90 	 768,97 	 2,11 	 0,65 	 720,17 
30.11.1995	 8 575,05 	 1 136,20 	 1,50 	 15,00 			 9 229,00 	 2 067,04 	 11 500,00 	 18 417,68 	 177,69 	 179,00 	 8 485,21 	 38 282,29 	 1 045,00 	 21 535,00 	 2 875,00 	 2 509,00 	 7 994,99 	 7 142,86 	 1 817,46 		 2,50 		 17 169,30 	 8 135,83 		 41,00 	 23,00 	 45,00 	 2 691,57 	 2 328,55 	 17 851,60 		 1 756,91 	 9 930,92 	 14 827,23 	 1 001,04 	 3 891,45 	 488,12 		 1 132,39 	 939,81 	 71,90 	 768,97 	 2,11 	 0,65 	 720,17 
01.12.1995	 8 557,82 	 1 138,90 	 1,50 	 15,00 			 9 200,00 	 2 069,46 	 11 500,00 	 18 248,18 	 176,38 	 179,00 	 8 474,58 	 38 295,04 	 1 045,00 	 21 455,00 	 2 875,00 	 2 510,00 	 8 012,26 	 7 156,64 	 1 816,57 		 2,50 		 17 182,13 	 8 147,36 		 39,00 	 23,00 	 45,00 	 2 690,81 	 2 324,88 	 17 629,92 		 1 762,16 	 9 885,67 	 14 773,90 	 999,83 	 3 896,98 	 486,42 		 1 132,45 	 939,20 	 71,90 	 765,09 	 2,10 	 0,65 	 719,96 
02.12.1995	 8 557,82 	 1 138,90 	 1,50 	 15,00 			 9 200,00 	 2 069,46 	 11 500,00 	 18 248,18 	 176,38 	 179,00 	 8 474,58 	 38 295,04 	 1 045,00 	 21 455,00 	 2 875,00 	 2 510,00 	 8 012,26 	 7 156,64 	 1 816,57 		 2,50 		 17 182,13 	 8 147,36 		 39,00 	 23,00 	 45,00 	 2 690,81 	 2 324,88 	 17 629,92 		 1 762,16 	 9 885,67 	 14 773,90 	 999,83 	 3 896,98 	 486,42 		 1 132,45 	 939,20 	 71,90 	 765,09 	 2,10 	 0,65 	 719,96 
03.12.1995	 8 557,82 	 1 138,90 	 1,50 	 15,00 			 9 200,00 	 2 069,46 	 11 500,00 	 18 248,18 	 176,38 	 179,00 	 8 474,58 	 38 295,04 	 1 045,00 	 21 455,00 	 2 875,00 	 2 510,00 	 8 012,26 	 7 156,64 	 1 816,57 		 2,50 		 17 182,13 	 8 147,36 		 39,00 	 23,00 	 45,00 	 2 690,81 	 2 324,88 	 17 629,92 		 1 762,16 	 9 885,67 	 14 773,90 	 999,83 	 3 896,98 	 486,42 		 1 132,45 	 939,20 	 71,90 	 765,09 	 2,10 	 0,65 	 719,96 
04.12.1995	 8 557,82 	 1 138,90 	 1,50 	 15,00 			 9 200,00 	 2 069,46 	 11 500,00 	 18 248,18 	 176,38 	 179,00 	 8 474,58 	 38 295,04 	 1 045,00 	 21 455,00 	 2 875,00 	 2 510,00 	 8 012,26 	 7 156,64 	 1 816,57 		 2,50 		 17 182,13 	 8 147,36 		 39,00 	 23,00 	 45,00 	 2 690,81 	 2 324,88 	 17 629,92 		 1 762,16 	 9 885,67 	 14 773,90 	 999,83 	 3 896,98 	 486,42 		 1 132,45 	 939,20 	 71,90 	 765,09 	 2,10 	 0,65 	 719,96 
05.12.1995	 8 557,82 	 1 138,90 	 1,50 	 15,00 			 9 200,00 	 2 069,46 	 11 500,00 	 18 248,18 	 176,38 	 179,00 	 8 474,58 	 38 295,04 	 1 045,00 	 21 455,00 	 2 875,00 	 2 510,00 	 8 012,26 	 7 156,64 	 1 816,57 		 2,50 		 17 182,13 	 8 147,36 		 39,00 	 23,00 	 45,00 	 2 690,81 	 2 324,88 	 17 629,92 		 1 762,16 	 9 885,67 	 14 773,90 	 999,83 	 3 896,98 	 486,42 		 1 132,45 	 939,20 	 71,90 	 765,09 	 2,10 	 0,65 	 719,96 
06.12.1995	 8 482,70 	 1 136,64 	 1,50 	 15,00 			 9 141,00 	 2 065,34 	 11 500,00 	 18 268,47 	 176,14 	 179,00 	 8 408,28 	 38 307,79 	 1 040,00 	 21 455,00 	 2 875,00 	 2 510,00 	 7 998,33 	 7 145,52 	 1 815,46 		 2,50 		 17 093,25 	 8 134,68 		 39,00 	 23,00 	 45,00 	 2 683,78 	 2 307,48 	 17 646,16 		 1 763,45 	 9 851,79 	 14 720,94 	 991,89 	 3 890,39 	 485,33 		 1 134,12 	 936,71 	 71,92 	 761,84 	 2,09 	 0,64 	 719,87 
07.12.1995	 8 482,70 	 1 136,64 	 1,50 	 15,00 			 9 141,00 	 2 065,34 	 11 500,00 	 18 268,47 	 176,14 	 179,00 	 8 408,28 	 38 307,79 	 1 040,00 	 21 455,00 	 2 875,00 	 2 510,00 	 7 998,33 	 7 145,52 	 1 815,46 		 2,50 		 17 093,25 	 8 134,68 		 39,00 	 23,00 	 45,00 	 2 683,78 	 2 307,48 	 17 646,16 		 1 763,45 	 9 851,79 	 14 720,94 	 991,89 	 3 890,39 	 485,33 		 1 134,12 	 936,71 	 71,92 	 761,84 	 2,09 	 0,64 	 719,87 
08.12.1995	 8 514,10 	 1 130,78 	 1,50 	 15,00 			 9 141,00 	 2 054,78 	 11 500,00 	 18 245,28 	 176,30 	 179,00 	 8 420,59 	 38 307,79 	 1 035,00 	 21 415,00 	 2 875,00 	 2 516,00 	 7 955,17 	 7 101,40 	 1 809,09 		 2,50 		 17 037,29 	 8 130,08 		 40,00 	 23,00 	 45,00 	 2 666,48 	 2 306,97 	 17 651,57 		 1 742,87 	 9 826,54 	 14 662,76 	 998,78 	 3 869,45 	 483,17 		 1 135,24 	 933,90 	 71,92 	 757,33 	 2,07 	 0,64 	 721,93 
09.12.1995	 8 514,10 	 1 130,78 	 1,50 	 15,00 			 9 141,00 	 2 054,78 	 11 500,00 	 18 245,28 	 176,30 	 179,00 	 8 420,59 	 38 307,79 	 1 035,00 	 21 415,00 	 2 875,00 	 2 516,00 	 7 955,17 	 7 101,40 	 1 809,09 		 2,50 		 17 037,29 	 8 130,08 		 40,00 	 23,00 	 45,00 	 2 666,48 	 2 306,97 	 17 651,57 		 1 742,87 	 9 826,54 	 14 662,76 	 998,78 	 3 869,45 	 483,17 		 1 135,24 	 933,90 	 71,92 	 757,33 	 2,07 	 0,64 	 721,93 
10.12.1995	 8 514,10 	 1 130,78 	 1,50 	 15,00 			 9 141,00 	 2 054,78 	 11 500,00 	 18 245,28 	 176,30 	 179,00 	 8 420,59 	 38 307,79 	 1 035,00 	 21 415,00 	 2 875,00 	 2 516,00 	 7 955,17 	 7 101,40 	 1 809,09 		 2,50 		 17 037,29 	 8 130,08 		 40,00 	 23,00 	 45,00 	 2 666,48 	 2 306,97 	 17 651,57 		 1 742,87 	 9 826,54 	 14 662,76 	 998,78 	 3 869,45 	 483,17 		 1 135,24 	 933,90 	 71,92 	 757,33 	 2,07 	 0,64 	 721,93 
11.12.1995	 8 514,10 	 1 130,78 	 1,50 	 15,00 			 9 141,00 	 2 054,78 	 11 500,00 	 18 245,28 	 176,30 	 179,00 	 8 420,59 	 38 307,79 	 1 035,00 	 21 415,00 	 2 875,00 	 2 516,00 	 7 955,17 	 7 101,40 	 1 809,09 		 2,50 		 17 037,29 	 8 130,08 		 40,00 	 23,00 	 45,00 	 2 666,48 	 2 306,97 	 17 651,57 		 1 742,87 	 9 826,54 	 14 662,76 	 998,78 	 3 869,45 	 483,17 		 1 135,24 	 933,90 	 71,92 	 757,33 	 2,07 	 0,64 	 721,93 
12.12.1995	 8 514,10 	 1 130,78 	 1,50 	 15,00 			 9 141,00 	 2 054,78 	 11 500,00 	 18 245,28 	 176,30 	 179,00 	 8 420,59 	 38 307,79 	 1 035,00 	 21 415,00 	 2 875,00 	 2 516,00 	 7 955,17 	 7 101,40 	 1 809,09 		 2,50 		 17 037,29 	 8 130,08 		 40,00 	 23,00 	 45,00 	 2 666,48 	 2 306,97 	 17 651,57 		 1 742,87 	 9 826,54 	 14 662,76 	 998,78 	 3 869,45 	 483,17 		 1 135,24 	 933,90 	 71,92 	 757,33 	 2,07 	 0,64 	 721,93 
