Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																																							
Республики Беларусь, за период с 01.01.1996 по 31.12.1996																																																							
																																																							
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 азербайджанский манат (AZM)	1 армянский драм (AMD)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 румынский лей (ROL)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 таджикский рубль (TJR)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 украинская гривна (UAH)	1 украинский карбованец (UAK)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 иен (JPY)	10 испанских песет (ESP)	10 ливанских фунтов (LBP)	10 португальских эскудо (PTE)	10 турецких лир (TRL)	10 украинских карбованцев (UAK)	100 итальянских лир (ITL)	1000 азербайджанских манат (AZM)	1000 армянских драмов (AMD)	1000 ливанских фунтов (LBP)	1000 румынских лей (ROL)	1000 таджикских рублей (TJR)	10000 турецких лир (TRL)
01.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
02.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
03.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
04.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
05.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
06.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
07.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
08.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
09.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
10.01.1996	 8 572,69 	 1 131,95 	 2,50 	 28,00 	 158,42 	 84,29 	 9 349,00 	 2 059,09 	 11 500,00 	 18 344,23 	 175,71 	 179,00 	 8 443,47 	 38 410,15 	 1 031,00 	 21 316,03 	 2 875,00 	 2 542,00 	 7 961,23 	 7 110,62 	 1 808,03 	 4 625,91 	 2,47 	 4,05 	 16 954,40 	 8 070,18 	 387,12 	 39,00 	 4,10 	 323,00 		 0,07 	 2 635,20 	 2 324,97 	 17 810,13 	 430,24 	 1 740,31 	 9 847,58 	 14 799,94 	 998,09 	 3 873,68 	 487,21 	 1 093,16 	 947,55 	 72,12 	 767,54 	 1,94 		 730,51 						
11.01.1996	 8 572,69 	 1 131,95 	 2,50 	 28,00 	 158,42 	 84,29 	 9 349,00 	 2 059,09 	 11 500,00 	 18 344,23 	 175,71 	 179,00 	 8 443,47 	 38 410,15 	 1 031,00 	 21 316,03 	 2 875,00 	 2 542,00 	 7 961,23 	 7 110,62 	 1 808,03 	 4 625,91 	 2,47 	 4,05 	 16 954,40 	 8 070,18 	 387,12 	 39,00 	 4,10 	 323,00 		 0,07 	 2 635,20 	 2 324,97 	 17 810,13 	 430,24 	 1 740,31 	 9 847,58 	 14 799,94 	 998,09 	 3 873,68 	 487,21 	 1 093,16 	 947,55 	 72,12 	 767,54 	 1,94 		 730,51 						
12.01.1996	 8 576,13 	 1 138,84 	 2,50 	 28,00 	 158,73 	 84,45 	 9 274,00 	 2 070,95 	 11 500,00 	 18 366,68 	 175,68 	 179,00 	 8 421,82 	 38 422,99 	 1 031,00 	 21 249,08 	 2 875,00 	 2 535,00 	 8 007,80 	 7 150,41 	 1 819,76 	 4 625,91 	 2,47 	 3,97 	 16 964,40 	 8 084,36 	 388,55 	 39,00 	 4,10 	 315,00 		 0,07 	 2 640,22 	 2 335,03 	 17 753,71 	 430,60 	 1 745,65 	 9 930,92 	 14 891,94 	 1 000,17 	 3 895,66 	 489,90 	 1 099,90 	 952,10 	 72,15 	 771,86 	 1,93 		 732,48 						
13.01.1996	 8 576,13 	 1 138,84 	 2,50 	 28,00 	 158,73 	 84,45 	 9 274,00 	 2 070,95 	 11 500,00 	 18 366,68 	 175,68 	 179,00 	 8 421,82 	 38 422,99 	 1 031,00 	 21 249,08 	 2 875,00 	 2 535,00 	 8 007,80 	 7 150,41 	 1 819,76 	 4 625,91 	 2,47 	 3,97 	 16 964,40 	 8 084,36 	 388,55 	 39,00 	 4,10 	 315,00 		 0,07 	 2 640,22 	 2 335,03 	 17 753,71 	 430,60 	 1 745,65 	 9 930,92 	 14 891,94 	 1 000,17 	 3 895,66 	 489,90 	 1 099,90 	 952,10 	 72,15 	 771,86 	 1,93 		 732,48 						
14.01.1996	 8 576,13 	 1 138,84 	 2,50 	 28,00 	 158,73 	 84,45 	 9 274,00 	 2 070,95 	 11 500,00 	 18 366,68 	 175,68 	 179,00 	 8 421,82 	 38 422,99 	 1 031,00 	 21 249,08 	 2 875,00 	 2 535,00 	 8 007,80 	 7 150,41 	 1 819,76 	 4 625,91 	 2,47 	 3,97 	 16 964,40 	 8 084,36 	 388,55 	 39,00 	 4,10 	 315,00 		 0,07 	 2 640,22 	 2 335,03 	 17 753,71 	 430,60 	 1 745,65 	 9 930,92 	 14 891,94 	 1 000,17 	 3 895,66 	 489,90 	 1 099,90 	 952,10 	 72,15 	 771,86 	 1,93 		 732,48 						
15.01.1996	 8 576,13 	 1 138,84 	 2,50 	 28,00 	 158,73 	 84,45 	 9 274,00 	 2 070,95 	 11 500,00 	 18 366,68 	 175,68 	 179,00 	 8 421,82 	 38 422,99 	 1 031,00 	 21 249,08 	 2 875,00 	 2 535,00 	 8 007,80 	 7 150,41 	 1 819,76 	 4 625,91 	 2,47 	 3,97 	 16 964,40 	 8 084,36 	 388,55 	 39,00 	 4,10 	 315,00 		 0,07 	 2 640,22 	 2 335,03 	 17 753,71 	 430,60 	 1 745,65 	 9 930,92 	 14 891,94 	 1 000,17 	 3 895,66 	 489,90 	 1 099,90 	 952,10 	 72,15 	 771,86 	 1,93 		 732,48 						
16.01.1996	 8 576,13 	 1 138,84 	 2,50 	 28,00 	 158,73 	 84,45 	 9 274,00 	 2 070,95 	 11 500,00 	 18 366,68 	 175,68 	 179,00 	 8 421,82 	 38 422,99 	 1 031,00 	 21 249,08 	 2 875,00 	 2 535,00 	 8 007,80 	 7 150,41 	 1 819,76 	 4 625,91 	 2,47 	 3,97 	 16 964,40 	 8 084,36 	 388,55 	 39,00 	 4,10 	 315,00 		 0,07 	 2 640,22 	 2 335,03 	 17 753,71 	 430,60 	 1 745,65 	 9 930,92 	 14 891,94 	 1 000,17 	 3 895,66 	 489,90 	 1 099,90 	 952,10 	 72,15 	 771,86 	 1,93 		 732,48 						
17.01.1996	 8 568,02 	 1 122,88 	 2,50 	 28,00 	 157,86 	 83,32 	 9 274,00 	 2 042,67 	 11 500,00 	 18 356,53 	 175,39 	 179,00 	 8 437,27 	 38 397,33 	 1 026,00 	 21 186,44 	 2 875,00 	 2 538,00 	 7 896,72 	 7 050,89 	 1 800,53 	 4 589,35 	 2,47 	 3,97 	 17 022,41 	 8 064,52 	 384,94 	 39,00 	 4,10 	 315,00 		 0,07 	 2 615,36 	 2 310,86 	 17 738,97 	 427,67 	 1 738,39 	 9 824,86 	 14 620,07 	 988,48 	 3 844,87 	 481,37 	 1 089,07 	 938,39 	 72,15 	 763,23 	 1,91 		 728,61 						
18.01.1996	 8 568,02 	 1 122,88 	 2,50 	 28,00 	 157,86 	 83,32 	 9 274,00 	 2 042,67 	 11 500,00 	 18 356,53 	 175,39 	 179,00 	 8 437,27 	 38 397,33 	 1 026,00 	 21 186,44 	 2 875,00 	 2 538,00 	 7 896,72 	 7 050,89 	 1 800,53 	 4 589,35 	 2,47 	 3,97 	 17 022,41 	 8 064,52 	 384,94 	 39,00 	 4,10 	 315,00 		 0,07 	 2 615,36 	 2 310,86 	 17 738,97 	 427,67 	 1 738,39 	 9 824,86 	 14 620,07 	 988,48 	 3 844,87 	 481,37 	 1 089,07 	 938,39 	 72,15 	 763,23 	 1,91 		 728,61 						
19.01.1996	 8 518,63 	 1 114,40 	 2,50 	 28,00 	 157,61 	 82,68 	 9 274,00 	 2 025,18 	 11 500,00 	 18 145,87 	 173,98 	 178,00 	 8 421,21 	 38 371,71 	 1 017,00 	 21 073,85 	 2 875,00 	 2 538,00 	 7 834,85 	 6 995,56 	 1 787,94 	 4 563,49 	 2,47 	 4,16 	 17 022,41 	 8 101,44 	 383,23 	 38,00 	 4,10 	 315,00 		 0,07 	 2 574,26 	 2 294,36 	 17 528,88 	 424,97 	 1 723,62 	 9 700,55 	 14 503,23 	 982,07 	 3 813,00 	 477,77 	 1 093,62 	 929,52 	 72,19 	 757,78 	 1,90 		 725,95 						
20.01.1996	 8 518,63 	 1 114,40 	 2,50 	 28,00 	 157,61 	 82,68 	 9 274,00 	 2 025,18 	 11 500,00 	 18 145,87 	 173,98 	 178,00 	 8 421,21 	 38 371,71 	 1 017,00 	 21 073,85 	 2 875,00 	 2 538,00 	 7 834,85 	 6 995,56 	 1 787,94 	 4 563,49 	 2,47 	 4,16 	 17 022,41 	 8 101,44 	 383,23 	 38,00 	 4,10 	 315,00 		 0,07 	 2 574,26 	 2 294,36 	 17 528,88 	 424,97 	 1 723,62 	 9 700,55 	 14 503,23 	 982,07 	 3 813,00 	 477,77 	 1 093,62 	 929,52 	 72,19 	 757,78 	 1,90 		 725,95 						
21.01.1996	 8 518,63 	 1 114,40 	 2,50 	 28,00 	 157,61 	 82,68 	 9 274,00 	 2 025,18 	 11 500,00 	 18 145,87 	 173,98 	 178,00 	 8 421,21 	 38 371,71 	 1 017,00 	 21 073,85 	 2 875,00 	 2 538,00 	 7 834,85 	 6 995,56 	 1 787,94 	 4 563,49 	 2,47 	 4,16 	 17 022,41 	 8 101,44 	 383,23 	 38,00 	 4,10 	 315,00 		 0,07 	 2 574,26 	 2 294,36 	 17 528,88 	 424,97 	 1 723,62 	 9 700,55 	 14 503,23 	 982,07 	 3 813,00 	 477,77 	 1 093,62 	 929,52 	 72,19 	 757,78 	 1,90 		 725,95 						
22.01.1996	 8 518,63 	 1 114,40 	 2,50 	 28,00 	 157,61 	 82,68 	 9 274,00 	 2 025,18 	 11 500,00 	 18 145,87 	 173,98 	 178,00 	 8 421,21 	 38 371,71 	 1 017,00 	 21 073,85 	 2 875,00 	 2 538,00 	 7 834,85 	 6 995,56 	 1 787,94 	 4 563,49 	 2,47 	 4,16 	 17 022,41 	 8 101,44 	 383,23 	 38,00 	 4,10 	 315,00 		 0,07 	 2 574,26 	 2 294,36 	 17 528,88 	 424,97 	 1 723,62 	 9 700,55 	 14 503,23 	 982,07 	 3 813,00 	 477,77 	 1 093,62 	 929,52 	 72,19 	 757,78 	 1,90 		 725,95 						
23.01.1996	 8 518,63 	 1 114,40 	 2,50 	 28,00 	 157,61 	 82,68 	 9 274,00 	 2 025,18 	 11 500,00 	 18 145,87 	 173,98 	 178,00 	 8 421,21 	 38 371,71 	 1 017,00 	 21 073,85 	 2 875,00 	 2 538,00 	 7 834,85 	 6 995,56 	 1 787,94 	 4 563,49 	 2,47 	 4,16 	 17 022,41 	 8 101,44 	 383,23 	 38,00 	 4,10 	 315,00 		 0,07 	 2 574,26 	 2 294,36 	 17 528,88 	 424,97 	 1 723,62 	 9 700,55 	 14 503,23 	 982,07 	 3 813,00 	 477,77 	 1 093,62 	 929,52 	 72,19 	 757,78 	 1,90 		 725,95 						
24.01.1996	 8 440,37 	 1 110,36 	 2,50 	 28,00 	 156,91 	 82,06 	 9 236,00 	 2 017,19 	 11 500,00 	 18 049,41 	 172,41 	 178,00 	 8 392,32 	 38 384,51 	 1 017,00 	 21 046,85 	 2 875,00 	 2 536,00 	 7 804,55 	 6 969,27 	 1 780,05 	 4 545,45 	 2,45 	 3,83 	 16 862,17 	 8 112,87 	 382,31 	 38,00 	 4,30 	 316,00 		 0,07 	 2 544,87 	 2 279,94 	 17 408,42 	 424,03 	 1 678,69 	 9 704,64 	 14 362,97 	 975,40 	 3 796,63 	 472,78 	 1 088,50 	 925,26 	 72,21 	 754,15 	 1,87 		 722,00 						
25.01.1996	 8 440,37 	 1 110,36 	 2,50 	 28,00 	 156,91 	 82,06 	 9 236,00 	 2 017,19 	 11 500,00 	 18 049,41 	 172,41 	 178,00 	 8 392,32 	 38 384,51 	 1 017,00 	 21 046,85 	 2 875,00 	 2 536,00 	 7 804,55 	 6 969,27 	 1 780,05 	 4 545,45 	 2,45 	 3,83 	 16 862,17 	 8 112,87 	 382,31 	 38,00 	 4,30 	 316,00 		 0,07 	 2 544,87 	 2 279,94 	 17 408,42 	 424,03 	 1 678,69 	 9 704,64 	 14 362,97 	 975,40 	 3 796,63 	 472,78 	 1 088,50 	 925,26 	 72,21 	 754,15 	 1,87 		 722,00 						
26.01.1996	 8 443,87 	 1 106,73 	 2,50 	 28,00 	 156,31 	 81,63 	 9 236,00 	 2 012,18 	 11 500,00 	 18 065,34 	 172,10 	 178,00 	 8 374,60 	 38 333,33 	 1 013,00 	 21 019,92 	 2 875,00 	 2 535,00 	 7 783,42 	 6 948,22 	 1 776,47 	 4 533,81 	 2,44 	 4,09 	 16 776,32 	 8 111,73 	 381,59 	 38,00 	 4,30 	 316,00 		 0,07 	 2 534,83 	 2 266,90 	 17 420,78 	 423,54 	 1 676,56 	 9 689,11 	 14 292,78 	 967,07 	 3 784,39 	 471,04 	 1 076,93 	 922,58 	 72,21 	 750,41 	 1,86 		 723,79 						
27.01.1996	 8 443,87 	 1 106,73 	 2,50 	 28,00 	 156,31 	 81,63 	 9 236,00 	 2 012,18 	 11 500,00 	 18 065,34 	 172,10 	 178,00 	 8 374,60 	 38 333,33 	 1 013,00 	 21 019,92 	 2 875,00 	 2 535,00 	 7 783,42 	 6 948,22 	 1 776,47 	 4 533,81 	 2,44 	 4,09 	 16 776,32 	 8 111,73 	 381,59 	 38,00 	 4,30 	 316,00 		 0,07 	 2 534,83 	 2 266,90 	 17 420,78 	 423,54 	 1 676,56 	 9 689,11 	 14 292,78 	 967,07 	 3 784,39 	 471,04 	 1 076,93 	 922,58 	 72,21 	 750,41 	 1,86 		 723,79 						
28.01.1996	 8 443,87 	 1 106,73 	 2,50 	 28,00 	 156,31 	 81,63 	 9 236,00 	 2 012,18 	 11 500,00 	 18 065,34 	 172,10 	 178,00 	 8 374,60 	 38 333,33 	 1 013,00 	 21 019,92 	 2 875,00 	 2 535,00 	 7 783,42 	 6 948,22 	 1 776,47 	 4 533,81 	 2,44 	 4,09 	 16 776,32 	 8 111,73 	 381,59 	 38,00 	 4,30 	 316,00 		 0,07 	 2 534,83 	 2 266,90 	 17 420,78 	 423,54 	 1 676,56 	 9 689,11 	 14 292,78 	 967,07 	 3 784,39 	 471,04 	 1 076,93 	 922,58 	 72,21 	 750,41 	 1,86 		 723,79 						
29.01.1996	 8 443,87 	 1 106,73 	 2,50 	 28,00 	 156,31 	 81,63 	 9 236,00 	 2 012,18 	 11 500,00 	 18 065,34 	 172,10 	 178,00 	 8 374,60 	 38 333,33 	 1 013,00 	 21 019,92 	 2 875,00 	 2 535,00 	 7 783,42 	 6 948,22 	 1 776,47 	 4 533,81 	 2,44 	 4,09 	 16 776,32 	 8 111,73 	 381,59 	 38,00 	 4,30 	 316,00 		 0,07 	 2 534,83 	 2 266,90 	 17 420,78 	 423,54 	 1 676,56 	 9 689,11 	 14 292,78 	 967,07 	 3 784,39 	 471,04 	 1 076,93 	 922,58 	 72,21 	 750,41 	 1,86 		 723,79 						
30.01.1996	 8 443,87 	 1 106,73 	 2,50 	 28,00 	 156,31 	 81,63 	 9 236,00 	 2 012,18 	 11 500,00 	 18 065,34 	 172,10 	 178,00 	 8 374,60 	 38 333,33 	 1 013,00 	 21 019,92 	 2 875,00 	 2 535,00 	 7 783,42 	 6 948,22 	 1 776,47 	 4 533,81 	 2,44 	 4,09 	 16 776,32 	 8 111,73 	 381,59 	 38,00 	 4,30 	 316,00 		 0,07 	 2 534,83 	 2 266,90 	 17 420,78 	 423,54 	 1 676,56 	 9 689,11 	 14 292,78 	 967,07 	 3 784,39 	 471,04 	 1 076,93 	 922,58 	 72,21 	 750,41 	 1,86 		 723,79 						
31.01.1996	 8 522,07 	 1 102,11 	 2,50 	 28,00 	 155,25 	 81,14 	 9 200,00 	 2 002,61 	 11 500,00 	 17 945,17 	 171,33 	 177,00 	 8 335,75 	 38 397,33 	 1 015,00 	 20 769,37 	 2 875,00 	 2 530,00 	 7 749,85 	 6 919,37 	 1 766,59 	 4 517,78 	 2,43 	 3,85 	 16 767,27 	 8 098,02 	 380,68 	 38,00 	 4,80 	 317,00 		 0,07 	 2 529,59 	 2 255,34 	 17 322,46 	 422,51 	 1 657,94 	 9 523,81 	 14 204,23 	 968,83 	 3 769,26 	 468,01 	 1 077,28 	 914,62 	 72,26 	 745,74 	 1,84 		 720,06 						
01.02.1996	 8 522,07 	 1 102,11 	 2,50 	 28,00 	 155,25 	 81,14 	 9 200,00 	 2 002,61 	 11 500,00 	 17 945,17 	 171,33 	 177,00 	 8 335,75 	 38 397,33 	 1 015,00 	 20 769,37 	 2 875,00 	 2 530,00 	 7 749,85 	 6 919,37 	 1 766,59 	 4 517,78 	 2,43 	 3,85 	 16 767,27 	 8 098,02 	 380,68 	 38,00 	 4,80 	 317,00 		 0,07 	 2 529,59 	 2 255,34 	 17 322,46 	 422,51 	 1 657,94 	 9 523,81 	 14 204,23 	 968,83 	 3 769,26 	 468,01 	 1 077,28 	 914,62 	 72,26 	 745,74 	 1,84 		 720,06 						
02.02.1996	 8 556,57 	 1 096,86 	 2,50 	 28,00 	 154,93 	 80,95 	 9 200,00 	 1 993,52 	 11 500,00 	 18 018,19 	 171,36 	 177,00 	 8 360,60 	 38 371,71 	 1 017,00 	 20 795,66 	 2 875,00 	 2 526,00 	 7 711,91 	 6 885,82 	 1 764,16 	 4 505,39 	 2,43 	 3,81 	 16 707,83 	 8 099,16 	 379,59 	 38,00 	 4,80 	 318,00 		 0,07 	 2 523,53 	 2 247,54 	 17 406,97 	 421,57 	 1 651,94 	 9 456,46 	 14 169,73 	 963,96 	 3 751,92 	 467,44 	 1 073,76 	 915,93 	 72,28 	 744,58 	 1,83 		 725,48 						
03.02.1996	 8 556,57 	 1 096,86 	 2,50 	 28,00 	 154,93 	 80,95 	 9 200,00 	 1 993,52 	 11 500,00 	 18 018,19 	 171,36 	 177,00 	 8 360,60 	 38 371,71 	 1 017,00 	 20 795,66 	 2 875,00 	 2 526,00 	 7 711,91 	 6 885,82 	 1 764,16 	 4 505,39 	 2,43 	 3,81 	 16 707,83 	 8 099,16 	 379,59 	 38,00 	 4,80 	 318,00 		 0,07 	 2 523,53 	 2 247,54 	 17 406,97 	 421,57 	 1 651,94 	 9 456,46 	 14 169,73 	 963,96 	 3 751,92 	 467,44 	 1 073,76 	 915,93 	 72,28 	 744,58 	 1,83 		 725,48 						
04.02.1996	 8 556,57 	 1 096,86 	 2,50 	 28,00 	 154,93 	 80,95 	 9 200,00 	 1 993,52 	 11 500,00 	 18 018,19 	 171,36 	 177,00 	 8 360,60 	 38 371,71 	 1 017,00 	 20 795,66 	 2 875,00 	 2 526,00 	 7 711,91 	 6 885,82 	 1 764,16 	 4 505,39 	 2,43 	 3,81 	 16 707,83 	 8 099,16 	 379,59 	 38,00 	 4,80 	 318,00 		 0,07 	 2 523,53 	 2 247,54 	 17 406,97 	 421,57 	 1 651,94 	 9 456,46 	 14 169,73 	 963,96 	 3 751,92 	 467,44 	 1 073,76 	 915,93 	 72,28 	 744,58 	 1,83 		 725,48 						
05.02.1996	 8 556,57 	 1 096,86 	 2,50 	 28,00 	 154,93 	 80,95 	 9 200,00 	 1 993,52 	 11 500,00 	 18 018,19 	 171,36 	 177,00 	 8 360,60 	 38 371,71 	 1 017,00 	 20 795,66 	 2 875,00 	 2 526,00 	 7 711,91 	 6 885,82 	 1 764,16 	 4 505,39 	 2,43 	 3,81 	 16 707,83 	 8 099,16 	 379,59 	 38,00 	 4,80 	 318,00 		 0,07 	 2 523,53 	 2 247,54 	 17 406,97 	 421,57 	 1 651,94 	 9 456,46 	 14 169,73 	 963,96 	 3 751,92 	 467,44 	 1 073,76 	 915,93 	 72,28 	 744,58 	 1,83 		 725,48 						
06.02.1996	 8 556,57 	 1 096,86 	 2,50 	 28,00 	 154,93 	 80,95 	 9 200,00 	 1 993,52 	 11 500,00 	 18 018,19 	 171,36 	 177,00 	 8 360,60 	 38 371,71 	 1 017,00 	 20 795,66 	 2 875,00 	 2 526,00 	 7 711,91 	 6 885,82 	 1 764,16 	 4 505,39 	 2,43 	 3,81 	 16 707,83 	 8 099,16 	 379,59 	 38,00 	 4,80 	 318,00 		 0,07 	 2 523,53 	 2 247,54 	 17 406,97 	 421,57 	 1 651,94 	 9 456,46 	 14 169,73 	 963,96 	 3 751,92 	 467,44 	 1 073,76 	 915,93 	 72,28 	 744,58 	 1,83 		 725,48 						
07.02.1996	 8 688,83 	 1 114,34 	 2,50 	 28,00 	 155,62 	 81,54 	 9 200,00 	 2 025,54 	 11 500,00 	 18 262,00 	 172,80 	 176,00 	 8 347,25 	 38 474,41 	 1 022,00 	 20 939,55 	 2 875,00 	 2 524,00 	 7 837,52 	 6 996,41 	 1 792,11 	 4 540,43 	 2,43 	 3,90 	 16 695,70 	 8 134,11 	 383,26 	 38,00 	 5,80 	 319,00 		 0,07 	 2 544,47 	 2 279,48 	 17 697,92 	 426,08 	 1 649,95 	 9 605,75 	 14 349,12 	 979,39 	 3 810,47 	 472,12 	 1 093,73 	 928,09 	 72,30 	 754,30 	 1,81 		 730,62 						
