Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																													
Республики Беларусь ежедневно, за период с 01.01.2013 по 24.06.2013																													
																													
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 СДР (Специальные права заимствования) (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)	10 йен (JPY)	1000 иранских риалов (IRR)
02.04.2013	 9 026,34 	 5 680,78 	 1 064,52 	 1 490,32 	 8 670,00 	 11 110,00 	 2 657,10 	 70,10 	 8 525,07 	 1 396,59 	 30 389,06 	 15 844,30 	 3 217,84 	 698,63 	 1 487,74 	 278,50 	 12 998,06 		 6 987,15 	 180,77 	 57,45 	 4 784,77 	 13 191,40 	 431,86 	 1 330,83 	 9 133,05 	 926,63 		 706,11 
03.04.2013	 9 091,04 	 5 702,85 	 1 066,45 	 1 496,17 	 8 690,00 	 11 170,00 	 2 666,87 	 70,37 	 8 563,69 	 1 401,93 	 30 422,91 	 15 904,10 	 3 230,96 	 698,89 	 1 492,20 	 279,50 	 13 057,77 		 7 021,94 	 181,19 	 57,59 	 4 809,08 	 13 224,01 	 431,81 	 1 340,12 	 9 181,68 	 933,86 		 707,74 
04.04.2013	 9 104,98 	 5 698,38 	 1 066,96 	 1 495,09 	 8 700,00 	 11 140,00 	 2 659,53 	 70,33 	 8 571,01 	 1 403,00 	 30 402,57 	 15 899,12 	 3 228,62 	 701,39 	 1 496,77 	 277,00 	 13 060,88 		 7 026,33 	 181,40 	 57,67 	 4 809,82 	 13 141,35 	 430,78 	 1 338,56 	 9 155,97 	 930,53 		 708,56 
05.04.2013	 9 047,16 	 5 684,01 	 1 066,58 	 1 491,62 	 8 690,00 	 11 150,00 	 2 654,04 	 70,07 	 8 560,73 	 1 401,27 	 30 349,60 	 15 857,66 	 3 219,89 	 698,08 	 1 491,90 	 274,00 	 13 029,53 		 7 000,44 	 181,19 	 57,60 	 4 801,37 	 13 098,44 	 430,35 	 1 324,45 	 9 145,44 	 910,81 		 707,74 
06.04.2013	 9 050,20 	 5 736,00 	 1 066,34 	 1 504,85 	 8 680,00 	 11 200,00 	 2 683,28 	 71,21 	 8 561,42 	 1 399,66 	 30 424,11 	 16 001,47 	 3 248,75 	 697,27 	 1 506,97 	 274,50 	 12 980,85 		 7 009,33 	 180,98 	 57,51 	 4 811,53 	 13 207,92 	 435,23 	 1 336,31 	 9 223,74 	 901,26 		 706,93 
07.04.2013	 9 050,20 	 5 736,00 	 1 066,34 	 1 504,85 	 8 680,00 	 11 200,00 	 2 683,28 	 71,21 	 8 561,42 	 1 399,66 	 30 424,11 	 16 001,47 	 3 248,75 	 697,27 	 1 506,97 	 274,50 	 12 980,85 		 7 009,33 	 180,98 	 57,51 	 4 811,53 	 13 207,92 	 435,23 	 1 336,31 	 9 223,74 	 901,26 		 706,93 
08.04.2013	 9 050,20 	 5 736,00 	 1 066,34 	 1 504,85 	 8 680,00 	 11 200,00 	 2 683,28 	 71,21 	 8 561,42 	 1 399,66 	 30 424,11 	 16 001,47 	 3 248,75 	 697,27 	 1 506,97 	 274,50 	 12 980,85 		 7 009,33 	 180,98 	 57,51 	 4 811,53 	 13 207,92 	 435,23 	 1 336,31 	 9 223,74 	 901,26 		 706,93 
09.04.2013	 8 981,73 	 5 755,54 	 1 062,46 	 1 510,38 	 8 650,00 	 11 250,00 	 2 708,25 	 72,62 	 8 497,05 	 1 394,42 	 30 257,45 	 16 060,16 	 3 260,71 	 697,95 	 1 512,37 	 273,50 	 12 986,24 		 6 968,78 	 180,03 	 57,30 	 4 824,32 	 13 248,77 	 436,08 	 1 346,89 	 9 259,75 	 874,80 		 704,48 
10.04.2013	 9 000,57 	 5 745,33 	 1 059,16 	 1 507,41 	 8 620,00 	 11 220,00 	 2 720,70 	 72,38 	 8 478,41 	 1 389,77 	 30 219,11 	 16 043,18 	 3 253,94 	 695,93 	 1 503,59 	 276,00 	 12 959,57 		 6 952,17 	 179,40 	 57,09 	 4 830,35 	 13 180,41 	 436,01 	 1 346,61 	 9 212,35 	 870,53 		 702,04 
11.04.2013	 9 062,46 	 5 773,49 	 1 058,26 	 1 514,49 	 8 610,00 	 11 280,00 	 2 743,17 	 72,71 	 8 484,01 	 1 390,04 	 30 176,11 	 16 114,54 	 3 271,03 	 696,52 	 1 505,48 	 277,50 	 12 945,22 		 6 958,42 	 179,20 	 57,03 	 4 822,85 	 13 199,56 	 437,80 	 1 353,56 	 9 259,06 	 865,98 		 701,23 
12.04.2013	 9 108,32 	 5 766,66 	 1 059,49 	 1 512,77 	 8 620,00 	 11 280,00 	 2 747,06 	 72,56 	 8 531,27 	 1 391,14 	 30 245,61 	 16 097,11 	 3 266,27 	 700,24 	 1 501,85 	 279,00 	 12 976,98 		 6 967,91 	 179,40 	 57,10 	 4 828,46 	 13 251,53 	 435,32 	 1 353,40 	 9 253,39 	 865,11 		 702,04 
13.04.2013	 9 098,18 	 5 767,75 	 1 060,78 	 1 513,07 	 8 630,00 	 11 280,00 	 2 739,25 	 72,55 	 8 530,62 	 1 393,69 	 30 280,70 	 16 099,24 	 3 267,76 	 702,20 	 1 510,13 	 279,00 	 13 009,98 		 6 971,77 	 179,61 	 57,19 	 4 820,56 	 13 260,43 	 436,44 	 1 358,27 	 9 262,14 	 868,60 		 702,86 
14.04.2013	 9 098,18 	 5 767,75 	 1 060,78 	 1 513,07 	 8 630,00 	 11 280,00 	 2 739,25 	 72,55 	 8 530,62 	 1 393,69 	 30 280,70 	 16 099,24 	 3 267,76 	 702,20 	 1 510,13 	 279,00 	 13 009,98 		 6 971,77 	 179,61 	 57,19 	 4 820,56 	 13 260,43 	 436,44 	 1 358,27 	 9 262,14 	 868,60 		 702,86 
15.04.2013	 9 098,18 	 5 767,75 	 1 060,78 	 1 513,07 	 8 630,00 	 11 280,00 	 2 739,25 	 72,55 	 8 530,62 	 1 393,69 	 30 280,70 	 16 099,24 	 3 267,76 	 702,20 	 1 510,13 	 279,00 	 13 009,98 		 6 971,77 	 179,61 	 57,19 	 4 820,56 	 13 260,43 	 436,44 	 1 358,27 	 9 262,14 	 868,60 		 702,86 
16.04.2013	 9 017,63 	 5 777,84 	 1 062,98 	 1 515,50 	 8 650,00 	 11 320,00 	 2 748,91 	 72,78 	 8 469,18 	 1 398,09 	 30 342,36 	 16 130,54 	 3 273,35 	 702,15 	 1 506,10 	 276,50 	 13 020,85 		 6 991,03 	 179,34 	 57,28 	 4 825,66 	 13 252,23 	 435,91 	 1 353,18 	 9 300,58 	 881,84 		 704,48 
17.04.2013	 8 948,86 	 5 769,94 	 1 062,39 	 1 513,63 	 8 650,00 	 11 310,00 	 2 741,51 	 73,23 	 8 440,26 	 1 398,97 	 30 358,33 	 16 109,51 	 3 269,09 	 702,15 	 1 498,95 	 275,00 	 13 037,45 		 6 991,88 	 179,34 	 57,25 	 4 818,14 	 13 216,77 	 436,03 	 1 348,39 	 9 287,59 	 886,27 		 704,48 
18.04.2013	 8 944,56 	 5 820,27 	 1 060,20 	 1 526,50 	 8 630,00 	 11 370,00 	 2 769,04 	 73,68 	 8 424,44 	 1 398,09 	 30 328,59 	 16 252,35 	 3 297,54 	 702,77 	 1 507,53 	 276,50 	 13 013,00 		 6 997,49 	 178,92 	 57,18 	 4 823,65 	 13 203,90 	 440,62 	 1 345,80 	 9 365,17 	 878,60 		 702,86 
19.04.2013	 8 942,75 	 5 777,76 	 1 063,56 	 1 515,81 	 8 660,00 	 11 300,00 	 2 746,42 	 73,31 	 8 444,25 	 1 401,00 	 30 389,16 	 16 135,64 	 3 272,80 	 705,21 	 1 494,53 	 273,00 	 13 063,96 		 7 010,16 	 179,55 	 57,32 	 4 822,50 	 13 183,12 	 436,61 	 1 330,98 	 9 295,34 	 881,96 		 705,30 
20.04.2013	 8 948,88 	 5 784,29 	 1 060,97 	 1 517,07 	 8 640,00 	 11 290,00 	 2 753,70 	 74,05 	 8 439,97 	 1 398,60 	 30 342,41 	 16 154,06 	 3 276,02 	 702,75 	 1 487,60 	 274,50 	 13 000,61 		 6 995,10 	 179,13 	 57,17 	 4 808,55 	 13 272,34 	 437,82 	 1 325,28 	 9 286,83 	 872,24 		 703,67 
21.04.2013	 8 948,88 	 5 784,29 	 1 060,97 	 1 517,07 	 8 640,00 	 11 290,00 	 2 753,70 	 74,05 	 8 439,97 	 1 398,60 	 30 342,41 	 16 154,06 	 3 276,02 	 702,75 	 1 487,60 	 274,50 	 13 000,61 		 6 995,10 	 179,13 	 57,17 	 4 808,55 	 13 272,34 	 437,82 	 1 325,28 	 9 286,83 	 872,24 		 703,67 
22.04.2013	 8 948,88 	 5 784,29 	 1 060,97 	 1 517,07 	 8 640,00 	 11 290,00 	 2 753,70 	 74,05 	 8 439,97 	 1 398,60 	 30 342,41 	 16 154,06 	 3 276,02 	 702,75 	 1 487,60 	 274,50 	 13 000,61 		 6 995,10 	 179,13 	 57,17 	 4 808,55 	 13 272,34 	 437,82 	 1 325,28 	 9 286,83 	 872,24 		 703,67 
23.04.2013	 8 841,96 	 5 746,48 	 1 058,51 	 1 507,51 	 8 620,00 	 11 260,00 	 2 740,68 	 73,60 	 8 397,88 	 1 394,24 	 30 225,46 	 16 047,66 	 3 254,92 	 702,20 	 1 478,60 	 273,00 	 12 981,63 		 6 948,81 	 177,91 	 57,02 	 4 775,62 	 13 131,28 	 434,36 	 1 321,22 	 9 223,69 	 864,38 		 702,04 
24.04.2013	 8 819,12 	 5 721,49 	 1 058,77 	 1 501,14 	 8 620,00 	 11 230,00 	 2 711,37 	 73,40 	 8 381,95 	 1 394,99 	 30 207,46 	 15 982,20 	 3 240,78 	 700,60 	 1 459,04 	 272,50 	 12 947,07 		 6 948,53 	 177,91 	 57,05 	 4 767,70 	 13 117,49 	 430,74 	 1 303,28 	 9 173,14 	 873,80 		 702,04 
25.04.2013	 8 900,42 	 5 756,31 	 1 063,96 	 1 510,26 	 8 650,00 	 11 230,00 	 2 719,01 	 73,85 	 8 433,27 	 1 399,99 	 30 328,53 	 16 075,08 	 3 262,49 	 702,88 	 1 466,18 	 274,00 	 12 984,43 		 6 974,12 	 178,53 	 57,26 	 4 796,76 	 13 215,90 	 434,12 	 1 308,05 	 9 158,77 	 868,69 		 704,48 
26.04.2013	 8 849,82 	 5 741,40 	 1 062,46 	 1 506,37 	 8 650,00 	 11 280,00 	 2 720,81 	 73,66 	 8 411,12 	 1 399,85 	 30 312,59 	 16 037,82 	 3 252,06 	 703,04 	 1 464,12 	 276,00 	 12 992,13 		 6 972,71 	 178,53 	 57,25 	 4 784,29 	 13 163,14 	 432,24 	 1 307,81 	 9 205,07 	 876,84 		 704,48 
27.04.2013	 8 904,64 	 5 765,07 	 1 063,36 	 1 512,15 	 8 660,00 	 11 280,00 	 2 712,23 	 73,98 	 8 491,86 	 1 404,70 	 30 384,90 	 16 110,13 	 3 266,20 	 703,49 	 1 477,07 	 277,50 	 13 045,42 		 6 996,00 	 178,73 	 57,29 	 4 804,17 	 13 364,98 	 437,40 	 1 314,57 	 9 173,24 	 877,27 		 705,30 
28.04.2013	 8 904,64 	 5 765,07 	 1 063,36 	 1 512,15 	 8 660,00 	 11 280,00 	 2 712,23 	 73,98 	 8 491,86 	 1 404,70 	 30 384,90 	 16 110,13 	 3 266,20 	 703,49 	 1 477,07 	 277,50 	 13 045,42 		 6 996,00 	 178,73 	 57,29 	 4 804,17 	 13 364,98 	 437,40 	 1 314,57 	 9 173,24 	 877,27 		 705,30 
29.04.2013	 8 904,64 	 5 765,07 	 1 063,36 	 1 512,15 	 8 660,00 	 11 280,00 	 2 712,23 	 73,98 	 8 491,86 	 1 404,70 	 30 384,90 	 16 110,13 	 3 266,20 	 703,49 	 1 477,07 	 277,50 	 13 045,42 		 6 996,00 	 178,73 	 57,29 	 4 804,17 	 13 364,98 	 437,40 	 1 314,57 	 9 173,24 	 877,27 		 705,30 
30.04.2013	 8 936,75 	 5 786,34 	 1 062,65 	 1 517,77 	 8 650,00 	 11 320,00 	 2 728,06 	 73,90 	 8 531,83 	 1 403,08 	 30 401,01 	 16 162,18 	 3 277,76 	 702,11 	 1 485,16 	 276,50 	 13 011,76 		 7 005,75 	 179,32 	 57,17 	 4 808,23 	 13 429,99 	 439,54 	 1 323,16 	 9 205,07 	 885,23 		 704,48 
01.05.2013	 8 979,09 	 5 796,23 	 1 068,39 	 1 520,23 	 8 670,00 	 11 330,00 	 2 736,57 	 74,15 	 8 572,28 	 1 406,33 	 30 465,95 	 16 198,04 	 3 283,90 	 706,03 	 1 486,22 	 279,50 	 13 085,11 		 7 027,36 	 179,74 	 57,34 	 4 827,53 	 13 435,03 	 439,92 	 1 324,27 	 9 252,93 	 887,64 		 706,11 
02.05.2013	 8 979,09 	 5 796,23 	 1 068,39 	 1 520,23 	 8 670,00 	 11 330,00 	 2 736,57 	 74,15 	 8 572,28 	 1 406,33 	 30 465,95 	 16 198,04 	 3 283,90 	 706,03 	 1 486,22 	 279,50 	 13 085,11 		 7 027,36 	 179,74 	 57,34 	 4 827,53 	 13 435,03 	 439,92 	 1 324,27 	 9 252,93 	 887,64 		 706,11 
03.05.2013	 8 856,15 	 5 832,04 	 1 069,14 	 1 529,87 	 8 660,00 	 11 390,00 	 2 746,85 	 74,55 	 8 587,44 	 1 406,85 	 30 461,32 	 16 291,98 	 3 303,26 	 706,65 	 1 503,49 	 276,00 	 13 067,94 		 7 020,39 	 179,53 	 57,25 	 4 828,82 	 13 477,13 	 444,36 	 1 334,13 	 9 332,40 	 890,35 		 704,04 
04.05.2013	 8 897,43 	 5 823,55 	 1 071,60 	 1 528,03 	 8 680,00 	 11 360,00 	 2 752,50 	 74,84 	 8 578,35 	 1 409,96 	 30 513,42 	 16 263,82 	 3 298,69 	 708,86 	 1 498,46 	 278,50 	 13 142,56 		 7 038,88 	 179,95 	 57,47 	 4 836,06 	 13 496,10 	 444,32 	 1 334,30 	 9 307,81 	 884,23 		 701,22 
05.05.2013	 8 897,43 	 5 823,55 	 1 071,60 	 1 528,03 	 8 680,00 	 11 360,00 	 2 752,50 	 74,84 	 8 578,35 	 1 409,96 	 30 513,42 	 16 263,82 	 3 298,69 	 708,86 	 1 498,46 	 278,50 	 13 142,56 		 7 038,88 	 179,95 	 57,47 	 4 836,06 	 13 496,10 	 444,32 	 1 334,30 	 9 307,81 	 884,23 		 701,22 
06.05.2013	 8 897,43 	 5 823,55 	 1 071,60 	 1 528,03 	 8 680,00 	 11 360,00 	 2 752,50 	 74,84 	 8 578,35 	 1 409,96 	 30 513,42 	 16 263,82 	 3 298,69 	 708,86 	 1 498,46 	 278,50 	 13 142,56 		 7 038,88 	 179,95 	 57,47 	 4 836,06 	 13 496,10 	 444,32 	 1 334,30 	 9 307,81 	 884,23 		 701,22 
07.05.2013	 8 888,92 	 5 811,97 	 1 070,37 	 1 524,62 	 8 670,00 	 11 360,00 	 2 739,29 	 74,69 	 8 597,78 	 1 405,94 	 30 482,02 	 16 235,96 	 3 291,82 	 710,07 	 1 491,23 	 279,00 	 13 099,85 		 7 035,62 	 180,12 	 57,42 	 4 827,39 	 13 491,82 	 443,35 	 1 329,69 	 9 246,03 	 872,45 		 706,11 
08.05.2013	 8 850,33 	 5 814,07 	 1 067,90 	 1 525,79 	 8 690,00 	 11 370,00 	 2 736,32 	 74,80 	 8 631,74 	 1 412,07 	 30 533,01 	 16 242,99 	 3 293,79 	 709,75 	 1 489,26 	 279,50 	 13 095,83 		 7 054,72 	 180,54 	 57,55 	 4 825,90 	 13 507,30 	 441,52 	 1 333,95 	 9 250,59 	 876,76 		 707,74 
09.05.2013	 8 827,57 	 5 807,79 	 1 067,82 	 1 524,82 	 8 660,00 	 11 350,00 	 2 739,64 	 74,07 	 8 620,78 	 1 410,17 	 30 412,64 	 16 232,43 	 3 290,40 	 708,67 	 1 483,31 	 278,50 	 13 070,54 		 7 043,51 	 179,91 	 57,34 	 4 821,56 	 13 412,18 	 438,59 	 1 328,01 	 9 226,02 	 875,81 		 705,30 
10.05.2013	 8 827,57 	 5 807,79 	 1 067,82 	 1 524,82 	 8 660,00 	 11 350,00 	 2 739,64 	 74,07 	 8 620,78 	 1 410,17 	 30 412,64 	 16 232,43 	 3 290,40 	 708,67 	 1 483,31 	 278,50 	 13 070,54 		 7 043,51 	 179,91 	 57,34 	 4 821,56 	 13 412,18 	 438,59 	 1 328,01 	 9 226,02 	 875,81 		 705,30 
11.05.2013	 8 827,57 	 5 807,79 	 1 067,82 	 1 524,82 	 8 660,00 	 11 350,00 	 2 739,64 	 74,07 	 8 620,78 	 1 410,17 	 30 412,64 	 16 232,43 	 3 290,40 	 708,67 	 1 483,31 	 278,50 	 13 070,54 		 7 043,51 	 179,91 	 57,34 	 4 821,56 	 13 412,18 	 438,59 	 1 328,01 	 9 226,02 	 875,81 		 705,30 
12.05.2013	 8 827,57 	 5 807,79 	 1 067,82 	 1 524,82 	 8 660,00 	 11 350,00 	 2 739,64 	 74,07 	 8 620,78 	 1 410,17 	 30 412,64 	 16 232,43 	 3 290,40 	 708,67 	 1 483,31 	 278,50 	 13 070,54 		 7 043,51 	 179,91 	 57,34 	 4 821,56 	 13 412,18 	 438,59 	 1 328,01 	 9 226,02 	 875,81 		 705,30 
13.05.2013	 8 827,57 	 5 807,79 	 1 067,82 	 1 524,82 	 8 660,00 	 11 350,00 	 2 739,64 	 74,07 	 8 620,78 	 1 410,17 	 30 412,64 	 16 232,43 	 3 290,40 	 708,67 	 1 483,31 	 278,50 	 13 070,54 		 7 043,51 	 179,91 	 57,34 	 4 821,56 	 13 412,18 	 438,59 	 1 328,01 	 9 226,02 	 875,81 		 705,30 
14.05.2013	 8 647,01 	 5 742,90 	 1 066,24 	 1 507,02 	 8 660,00 	 11 230,00 	 2 702,70 	 71,95 	 8 567,05 	 1 408,98 	 30 322,13 	 16 047,44 	 3 253,01 	 709,84 	 1 487,84 	 276,00 	 13 092,01 		 6 980,49 	 179,93 	 57,31 	 4 796,59 	 13 311,72 	 435,06 	 1 309,68 	 9 032,59 	 851,15 		 704,55 
15.05.2013	 8 647,01 	 5 742,90 	 1 066,24 	 1 507,02 	 8 660,00 	 11 230,00 	 2 702,70 	 71,95 	 8 567,05 	 1 408,98 	 30 322,13 	 16 047,44 	 3 253,01 	 709,84 	 1 487,84 	 276,00 	 13 092,01 		 6 980,49 	 179,93 	 57,31 	 4 796,59 	 13 311,72 	 435,06 	 1 309,68 	 9 032,59 	 851,15 		 704,55 
16.05.2013	 8 533,66 	 5 706,18 	 1 062,00 	 1 497,29 	 8 650,00 	 11 150,00 	 2 674,75 	 70,18 	 8 478,31 	 1 407,40 	 30 223,62 	 15 956,47 	 3 232,26 	 704,97 	 1 479,11 	 275,00 	 12 948,18 		 6 944,72 	 179,73 	 57,21 	 4 754,71 	 13 178,27 	 429,58 	 1 295,28 	 8 917,07 	 844,44 		 702,60 
17.05.2013	 8 512,91 	 5 707,90 	 1 066,01 	 1 497,83 	 8 680,00 	 11 160,00 	 2 668,51 	 70,48 	 8 518,57 	 1 411,61 	 30 326,85 	 15 961,75 	 3 233,02 	 702,83 	 1 478,98 	 276,50 	 12 936,24 		 6 929,31 	 180,35 	 57,42 	 4 760,86 	 13 199,24 	 429,72 	 1 298,99 	 8 963,70 	 846,95 		 708,05 
18.05.2013	 8 441,11 	 5 703,57 	 1 065,11 	 1 496,89 	 8 670,00 	 11 150,00 	 2 666,95 	 70,29 	 8 456,47 	 1 411,78 	 30 291,91 	 15 949,23 	 3 230,86 	 702,02 	 1 482,80 	 276,00 	 12 925,93 		 6 899,57 	 180,14 	 57,42 	 4 720,55 	 13 210,91 	 428,71 	 1 298,86 	 8 972,83 	 845,40 		 707,24 
19.05.2013	 8 441,11 	 5 703,57 	 1 065,11 	 1 496,89 	 8 670,00 	 11 150,00 	 2 666,95 	 70,29 	 8 456,47 	 1 411,78 	 30 291,91 	 15 949,23 	 3 230,86 	 702,02 	 1 482,80 	 276,00 	 12 925,93 		 6 899,57 	 180,14 	 57,42 	 4 720,55 	 13 210,91 	 428,71 	 1 298,86 	 8 972,83 	 845,40 		 707,24 
20.05.2013	 8 441,11 	 5 703,57 	 1 065,11 	 1 496,89 	 8 670,00 	 11 150,00 	 2 666,95 	 70,29 	 8 456,47 	 1 411,78 	 30 291,91 	 15 949,23 	 3 230,86 	 702,02 	 1 482,80 	 276,00 	 12 925,93 		 6 899,57 	 180,14 	 57,42 	 4 720,55 	 13 210,91 	 428,71 	 1 298,86 	 8 972,83 	 845,40 		 707,24 
21.05.2013	 8 460,13 	 5 692,85 	 1 060,31 	 1 493,85 	 8 650,00 	 11 120,00 	 2 671,07 	 70,29 	 8 414,81 	 1 409,05 	 30 200,40 	 15 913,90 	 3 224,18 	 696,32 	 1 480,89 	 276,00 	 12 900,61 		 6 896,55 	 179,15 	 57,28 	 4 690,89 	 13 147,57 	 426,63 	 1 296,60 	 8 935,03 	 843,37 		 704,48 
22.05.2013	 8 499,02 	 5 708,65 	 1 065,29 	 1 498,30 	 8 680,00 	 11 190,00 	 2 671,06 	 70,45 	 8 451,39 	 1 414,69 	 30 303,03 	 15 954,42 	 3 233,92 	 692,46 	 1 484,64 	 278,50 	 12 939,71 		 6 900,94 	 179,77 	 57,52 	 4 689,36 	 13 184,49 	 426,81 	 1 303,68 	 8 962,78 	 844,60 		 706,93 
23.05.2013	 8 473,18 	 5 744,88 	 1 066,78 	 1 507,40 	 8 690,00 	 11 230,00 	 2 689,24 	 70,84 	 8 446,73 	 1 417,36 	 30 347,48 	 16 046,53 	 3 253,71 	 694,09 	 1 502,73 	 278,50 	 12 949,84 		 6 892,45 	 179,98 	 57,62 	 4 715,14 	 13 113,64 	 431,97 	 1 314,49 	 8 951,84 	 844,35 		 707,74 
24.05.2013	 8 374,90 	 5 717,86 	 1 065,68 	 1 500,10 	 8 680,00 	 11 170,00 	 2 665,36 	 70,30 	 8 378,78 	 1 415,06 	 30 297,74 	 15 964,69 	 3 238,20 	 692,74 	 1 485,23 	 276,00 	 12 951,08 		 6 860,03 	 179,77 	 57,56 	 4 685,56 	 13 079,46 	 428,22 	 1 301,68 	 8 985,97 	 858,73 		 706,93 
25.05.2013	 8 401,81 	 5 763,80 	 1 063,40 	 1 512,47 	 8 680,00 	 11 230,00 	 2 682,32 	 70,37 	 8 395,40 	 1 415,62 	 30 280,83 	 16 097,92 	 3 265,37 	 692,74 	 1 495,34 	 277,00 	 12 946,91 		 6 865,46 	 179,77 	 57,60 	 4 710,99 	 13 120,69 	 433,31 	 1 309,04 	 9 004,15 	 852,74 		 706,93 
26.05.2013	 8 401,81 	 5 763,80 	 1 063,40 	 1 512,47 	 8 680,00 	 11 230,00 	 2 682,32 	 70,37 	 8 395,40 	 1 415,62 	 30 280,83 	 16 097,92 	 3 265,37 	 692,74 	 1 495,34 	 277,00 	 12 946,91 		 6 865,46 	 179,77 	 57,60 	 4 710,99 	 13 120,69 	 433,31 	 1 309,04 	 9 004,15 	 852,74 		 706,93 
27.05.2013	 8 401,81 	 5 763,80 	 1 063,40 	 1 512,47 	 8 680,00 	 11 230,00 	 2 682,32 	 70,37 	 8 395,40 	 1 415,62 	 30 280,83 	 16 097,92 	 3 265,37 	 692,74 	 1 495,34 	 277,00 	 12 946,91 		 6 865,46 	 179,77 	 57,60 	 4 710,99 	 13 120,69 	 433,31 	 1 309,04 	 9 004,15 	 852,74 		 706,93 
28.05.2013	 8 378,37 	 5 743,40 	 1 065,55 	 1 507,25 	 8 680,00 	 11 230,00 	 2 676,82 	 70,10 	 8 407,19 	 1 418,05 	 30 342,22 	 16 022,15 	 3 253,43 	 694,40 	 1 490,72 	 277,50 	 12 978,08 		 6 894,09 	 179,84 	 57,55 	 4 702,44 	 13 146,29 	 432,38 	 1 307,71 	 9 028,03 	 860,64 		 705,49 
29.05.2013	 8 405,07 	 5 741,63 	 1 069,19 	 1 506,64 	 8 700,00 	 11 230,00 	 2 680,18 	 69,98 	 8 402,14 	 1 421,15 	 30 391,95 	 16 007,36 	 3 252,15 	 695,55 	 1 488,49 	 277,50 	 13 007,98 		 6 873,12 	 180,26 	 57,68 	 4 703,59 	 13 123,51 	 432,80 	 1 307,70 	 8 976,94 	 852,27 		 708,04 
30.05.2013	 8 338,52 	 5 732,17 	 1 067,94 	 1 504,16 	 8 700,00 	 11 200,00 	 2 651,19 	 70,18 	 8 373,03 	 1 419,97 	 30 370,73 	 15 980,90 	 3 246,94 	 693,07 	 1 475,35 	 276,00 	 12 991,36 		 6 853,63 	 180,26 	 57,60 	 4 667,63 	 13 108,72 	 432,47 	 1 303,08 	 8 957,53 	 856,00 		 704,60 
31.05.2013	 8 385,31 	 5 755,40 	 1 065,55 	 1 510,00 	 8 680,00 	 11 250,00 	 2 650,22 	 70,59 	 8 384,45 	 1 415,64 	 30 348,59 	 16 042,88 	 3 260,28 	 691,75 	 1 475,91 	 275,00 	 12 966,70 		 6 870,35 	 179,84 	 57,36 	 4 660,15 	 13 169,73 	 435,97 	 1 311,22 	 9 051,57 	 862,27 		 707,42 
01.06.2013	 8 346,31 	 5 784,66 	 1 066,72 	 1 517,88 	 8 690,00 	 11 310,00 	 2 643,27 	 70,83 	 8 407,10 	 1 416,58 	 30 400,56 	 16 129,93 	 3 276,96 	 695,06 	 1 482,99 	 273,50 		 13 006,93 	 6 883,71 	 180,05 	 57,43 	 4 616,69 	 13 219,66 	 439,70 	 1 314,47 	 9 118,09 		 865,24 	 711,10 
02.06.2013	 8 346,31 	 5 784,66 	 1 066,72 	 1 517,88 	 8 690,00 	 11 310,00 	 2 643,27 	 70,83 	 8 407,10 	 1 416,58 	 30 400,56 	 16 129,93 	 3 276,96 	 695,06 	 1 482,99 	 273,50 		 13 006,93 	 6 883,71 	 180,05 	 57,43 	 4 616,69 	 13 219,66 	 439,70 	 1 314,47 	 9 118,09 		 865,24 	 711,10 
03.06.2013	 8 346,31 	 5 784,66 	 1 066,72 	 1 517,88 	 8 690,00 	 11 310,00 	 2 643,27 	 70,83 	 8 407,10 	 1 416,58 	 30 400,56 	 16 129,93 	 3 276,96 	 695,06 	 1 482,99 	 273,50 		 13 006,93 	 6 883,71 	 180,05 	 57,43 	 4 616,69 	 13 219,66 	 439,70 	 1 314,47 	 9 118,09 		 865,24 	 711,10 
04.06.2013	 8 371,08 	 5 783,69 	 1 065,51 	 1 517,51 	 8 690,00 	 11 310,00 	 2 642,70 	 71,01 	 8 386,82 	 1 417,23 	 30 411,20 	 16 131,43 	 3 276,53 	 696,31 	 1 487,44 	 271,00 		 13 024,31 	 6 906,14 	 180,03 	 57,40 	 4 588,17 	 13 263,98 	 439,64 	 1 317,91 	 9 080,46 		 867,31 	 707,74 
05.06.2013	 8 416,81 	 5 819,40 	 1 066,76 	 1 526,89 	 8 700,00 	 11 380,00 	 2 676,84 	 71,29 	 8 431,87 	 1 419,57 	 30 483,00 	 16 228,32 	 3 295,83 	 697,67 	 1 497,41 	 273,50 		 13 053,04 	 6 945,00 	 180,24 	 57,48 	 4 627,66 	 13 321,44 	 441,14 	 1 327,88 	 9 170,93 		 867,79 	 708,56 
