Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2002 по 31.12.2002																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGL)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.10.2002	 2,37 	 942,01 	 246,86 	 1 865,00 	 1 833,39 	 21,49 	 12,06 	 1 182,03 	 6 177,54 	 40,54 	 3 086,98 	 531,13 	 137,38 	 249,36 	 449,83 	 58,86 	 2 458,39 	 1 049,58 	 349,91 	 2 916,86 	 60,65 	 200,74 	 1 252,39 	 117,15 	 153,16 	 11,27 
02.10.2002	 2,34 	 947,40 	 248,30 	 1 866,00 	 1 844,07 	 21,71 	 12,07 	 1 175,21 	 6 186,80 	 40,56 	 3 098,90 	 534,15 	 137,51 	 252,30 	 450,53 	 58,88 	 2 468,14 	 1 045,93 	 350,08 	 2 940,35 	 60,61 	 202,29 	 1 265,39 	 117,88 	 152,97 	 11,21 
03.10.2002	 481,54 	 942,60 	 247,06 	 1 867,00 	 1 834,70 	 21,60 	 12,08 	 1 180,67 	 6 178,44 	 40,59 	 3 088,50 	 531,47 	 137,61 	 251,27 	 450,88 	 58,90 	 2 471,78 	 1 043,92 	 350,26 	 2 921,39 	 60,46 	 202,58 	 1 255,55 	 117,24 	 151,67 	 11,35 
04.10.2002	 1 018,71 	 948,78 	 248,59 	 1 868,00 	 1 846,99 	 21,71 	 12,09 	 1 175,99 	 6 187,27 	 40,61 	 3 098,87 	 534,78 	 137,68 	 252,29 	 450,77 	 58,96 	 2 466,36 	 1 045,39 	 350,40 	 2 933,69 	 60,74 	 202,90 	 1 265,88 	 118,04 	 152,09 	 11,39 
05.10.2002	 481,54 	 947,22 	 248,12 	 1 870,00 	 1 844,29 	 21,64 	 12,11 	 1 177,95 	 6 191,64 	 40,65 	 3 100,39 	 533,99 	 137,75 	 252,86 	 451,09 	 59,03 	 2 475,02 	 1 050,15 	 350,84 	 2 932,25 	 60,76 	 203,32 	 1 261,60 	 117,84 	 152,20 	 11,41 
06.10.2002	 2,34 	 947,22 	 248,12 	 1 870,00 	 1 844,29 	 21,64 	 12,11 	 1 177,95 	 6 191,64 	 40,65 	 3 100,39 	 533,99 	 137,75 	 252,86 	 451,09 	 59,03 	 2 475,02 	 1 050,15 	 350,84 	 2 932,25 	 60,76 	 203,32 	 1 261,60 	 117,84 	 152,20 	 11,41 
07.10.2002	 481,54 	 947,22 	 248,12 	 1 870,00 	 1 844,29 	 21,64 	 12,11 	 1 177,95 	 6 191,64 	 40,65 	 3 100,39 	 533,99 	 137,75 	 252,86 	 451,09 	 59,03 	 2 475,02 	 1 050,15 	 350,84 	 2 932,25 	 60,76 	 203,32 	 1 261,60 	 117,84 	 152,20 	 11,41 
08.10.2002	 1 027,66 	 940,76 	 246,56 	 1 870,00 	 1 831,76 	 21,53 	 12,11 	 1 174,25 	 6 186,52 	 40,65 	 3 091,93 	 530,40 	 137,75 	 251,38 	 449,23 	 59,03 	 2 472,93 	 1 044,05 	 350,93 	 2 927,39 	 60,47 	 201,45 	 1 253,27 	 117,04 	 150,89 	 11,36 
09.10.2002	 481,54 	 941,72 	 246,73 	 1 871,00 	 1 831,99 	 21,41 	 12,12 	 1 174,55 	 6 189,01 	 40,67 	 3 090,26 	 530,45 	 137,83 	 251,61 	 449,17 	 59,06 	 2 463,45 	 1 045,25 	 351,07 	 2 926,34 	 60,38 	 201,45 	 1 251,21 	 117,12 	 150,48 	 11,33 
10.10.2002	 1 025,20 	 941,58 	 246,68 	 1 872,00 	 1 832,22 	 21,34 	 12,12 	 1 173,56 	 6 189,86 	 40,70 	 3 079,20 	 530,65 	 137,90 	 252,47 	 448,71 	 59,09 	 2 466,77 	 1 046,51 	 351,19 	 2 906,19 	 59,85 	 200,07 	 1 250,04 	 117,11 	 150,63 	 11,36 
11.10.2002	 481,54 	 952,48 	 249,52 	 1 873,00 	 1 853,61 	 21,55 	 12,13 	 1 175,62 	 6 191,94 	 40,72 	 3 099,71 	 536,66 	 137,97 	 253,54 	 452,33 	 59,14 	 2 465,50 	 1 044,85 	 351,43 	 2 934,62 	 60,52 	 201,79 	 1 266,27 	 118,34 	 151,75 	 11,35 
12.10.2002	 2,34 	 950,01 	 248,85 	 1 873,00 	 1 848,65 	 21,44 	 12,14 	 1 178,54 	 6 201,78 	 40,72 	 3 094,08 	 535,55 	 137,82 	 254,43 	 454,14 	 59,14 	 2 476,82 	 1 044,21 	 351,46 	 2 927,78 	 60,16 	 202,44 	 1 263,28 	 118,16 	 150,88 	 11,46 
13.10.2002	 481,54 	 950,01 	 248,85 	 1 873,00 	 1 848,65 	 21,44 	 12,14 	 1 178,54 	 6 201,78 	 40,72 	 3 094,08 	 535,55 	 137,82 	 254,43 	 454,14 	 59,14 	 2 476,82 	 1 044,21 	 351,46 	 2 927,78 	 60,16 	 202,44 	 1 263,28 	 118,16 	 150,88 	 11,46 
14.10.2002	 1 025,75 	 950,01 	 248,85 	 1 873,00 	 1 848,65 	 21,44 	 12,14 	 1 178,54 	 6 201,78 	 40,72 	 3 094,08 	 535,55 	 137,82 	 254,43 	 454,14 	 59,14 	 2 476,82 	 1 044,21 	 351,46 	 2 927,78 	 60,16 	 202,44 	 1 263,28 	 118,16 	 150,88 	 11,46 
15.10.2002	 481,54 	 951,15 	 249,16 	 1 873,00 	 1 850,80 	 21,48 	 12,14 	 1 181,33 	 6 199,73 	 40,72 	 3 092,55 	 536,00 	 137,77 	 254,17 	 454,94 	 59,14 	 2 471,99 	 1 041,25 	 351,48 	 2 925,72 	 60,24 	 203,30 	 1 265,88 	 118,31 	 151,12 	 11,37 
16.10.2002	 2,34 	 947,37 	 248,14 	 1 874,00 	 1 843,45 	 21,41 	 12,15 	 1 182,33 	 6 199,34 	 40,74 	 3 087,57 	 533,99 	 137,95 	 252,99 	 454,55 	 59,16 	 2 473,31 	 1 037,31 	 351,63 	 2 905,36 	 59,88 	 202,77 	 1 257,93 	 117,82 	 150,48 	 11,38 
17.10.2002	 481,54 	 945,32 	 247,62 	 1 875,00 	 1 840,03 	 21,27 	 12,16 	 1 182,78 	 6 199,99 	 40,76 	 3 090,23 	 532,98 	 137,72 	 251,92 	 453,04 	 59,19 	 2 469,47 	 1 046,32 	 351,68 	 2 910,28 	 59,58 	 202,80 	 1 252,71 	 117,61 	 150,97 	 11,39 
18.10.2002	 1 031,52 	 942,33 	 246,82 	 1 876,00 	 1 834,07 	 21,20 	 12,17 	 1 187,42 	 6 200,63 	 40,78 	 3 087,81 	 531,27 	 136,93 	 248,08 	 450,79 	 59,22 	 2 470,73 	 1 052,75 	 351,97 	 2 915,21 	 59,22 	 202,09 	 1 249,71 	 117,96 	 151,12 	 11,37 
19.10.2002	 481,54 	 938,09 	 245,69 	 1 876,00 	 1 825,63 	 21,17 	 12,15 	 1 193,50 	 6 196,12 	 40,78 	 3 076,67 	 528,82 	 136,68 	 246,45 	 449,90 	 59,23 	 2 465,93 	 1 049,22 	 352,01 	 2 906,21 	 59,69 	 200,88 	 1 243,17 	 116,70 	 149,88 	 11,35 
20.10.2002	 2,34 	 938,09 	 245,69 	 1 876,00 	 1 825,63 	 21,17 	 12,15 	 1 193,50 	 6 196,12 	 40,78 	 3 076,67 	 528,82 	 136,68 	 246,45 	 449,90 	 59,23 	 2 465,93 	 1 049,22 	 352,01 	 2 906,21 	 59,69 	 200,88 	 1 243,17 	 116,70 	 149,88 	 11,35 
21.10.2002	 481,54 	 938,09 	 245,69 	 1 876,00 	 1 825,63 	 21,17 	 12,15 	 1 193,50 	 6 196,12 	 40,78 	 3 076,67 	 528,82 	 136,68 	 246,45 	 449,90 	 59,23 	 2 465,93 	 1 049,22 	 352,01 	 2 906,21 	 59,69 	 200,88 	 1 243,17 	 116,70 	 149,88 	 11,35 
22.10.2002	 1 039,58 	 940,52 	 246,49 	 1 877,00 	 1 830,83 	 21,13 	 12,15 	 1 193,15 	 6 199,83 	 40,80 	 3 081,09 	 530,23 	 137,01 	 247,82 	 453,19 	 59,22 	 2 461,20 	 1 054,52 	 352,09 	 2 908,79 	 60,05 	 202,23 	 1 245,19 	 117,00 	 150,55 	 11,29 
23.10.2002	 481,54 	 941,16 	 246,52 	 1 878,00 	 1 831,90 	 21,19 	 12,16 	 1 199,62 	 6 202,73 	 40,83 	 3 081,47 	 530,62 	 137,08 	 246,63 	 455,52 	 59,19 	 2 465,70 	 1 051,34 	 352,26 	 2 905,17 	 59,89 	 201,03 	 1 245,85 	 117,08 	 149,87 	 11,34 
24.10.2002	 1 038,62 	 945,17 	 247,51 	 1 879,00 	 1 839,45 	 21,25 	 12,18 	 1 197,77 	 6 209,93 	 40,85 	 3 086,65 	 532,82 	 136,16 	 248,64 	 456,90 	 59,24 	 2 465,38 	 1 056,39 	 352,45 	 2 910,66 	 59,87 	 201,32 	 1 253,96 	 117,57 	 151,36 	 11,30 
25.10.2002	 481,54 	 940,52 	 246,30 	 1 880,00 	 1 830,65 	 21,17 	 12,17 	 1 202,35 	 6 209,33 	 40,87 	 3 083,23 	 530,20 	 136,31 	 248,59 	 458,76 	 59,29 	 2 470,70 	 1 056,42 	 352,47 	 2 905,26 	 59,26 	 200,63 	 1 247,35 	 116,96 	 151,20 	 11,25 
26.10.2002	 2,34 	 944,56 	 247,42 	 1 881,00 	 1 838,77 	 21,17 	 12,17 	 1 202,99 	 6 216,95 	 40,89 	 3 091,46 	 532,56 	 136,38 	 249,66 	 461,82 	 59,28 	 2 469,40 	 1 060,11 	 352,72 	 2 922,42 	 59,00 	 200,97 	 1 253,21 	 117,49 	 151,99 	 11,23 
27.10.2002	 481,54 	 944,56 	 247,42 	 1 881,00 	 1 838,77 	 21,17 	 12,17 	 1 202,99 	 6 216,95 	 40,89 	 3 091,46 	 532,56 	 136,38 	 249,66 	 461,82 	 59,28 	 2 469,40 	 1 060,11 	 352,72 	 2 922,42 	 59,00 	 200,97 	 1 253,21 	 117,49 	 151,99 	 11,23 
28.10.2002	 2,34 	 944,56 	 247,42 	 1 881,00 	 1 838,77 	 21,17 	 12,17 	 1 202,99 	 6 216,95 	 40,89 	 3 091,46 	 532,56 	 136,38 	 249,66 	 461,82 	 59,28 	 2 469,40 	 1 060,11 	 352,72 	 2 922,42 	 59,00 	 200,97 	 1 253,21 	 117,49 	 151,99 	 11,23 
29.10.2002	 481,54 	 941,21 	 246,54 	 1 881,00 	 1 832,38 	 21,24 	 12,17 	 1 202,30 	 6 212,43 	 40,89 	 3 083,35 	 530,69 	 136,01 	 248,40 	 462,97 	 59,26 	 2 474,31 	 1 055,08 	 352,61 	 2 907,37 	 59,26 	 201,62 	 1 247,97 	 117,09 	 150,79 	 11,23 
30.10.2002	 2,34 	 951,06 	 249,07 	 1 882,00 	 1 851,04 	 21,39 	 12,18 	 1 207,30 	 6 225,09 	 40,91 	 3 103,56 	 536,17 	 135,79 	 250,38 	 464,38 	 59,37 	 2 471,50 	 1 062,71 	 352,70 	 2 932,63 	 59,76 	 203,44 	 1 262,92 	 118,29 	 152,41 	 11,21 
31.10.2002	 481,54 	 951,88 	 249,25 	 1 884,00 	 1 853,29 	 21,48 	 12,19 	 1 204,72 	 6 234,49 	 40,96 	 3 110,19 	 536,57 	 135,54 	 250,35 	 465,26 	 59,36 	 2 487,35 	 1 064,23 	 353,19 	 2 933,67 	 60,05 	 203,85 	 1 265,11 	 118,39 	 153,53 	 11,24 
01.11.2002	 2,14 	 955,83 	 250,33 	 1 885,00 	 1 860,21 	 21,55 	 12,20 	 1 203,09 	 6 240,69 	 40,98 	 3 115,19 	 538,85 	 135,61 	 252,64 	 467,44 	 59,33 	 2 488,20 	 1 067,14 	 353,43 	 2 940,69 	 60,50 	 204,66 	 1 271,33 	 118,89 	 153,65 	 11,30 
02.11.2002	 508,09 	 966,40 	 253,24 	 1 887,00 	 1 882,19 	 21,77 	 12,22 	 1 212,57 	 6 256,22 	 41,02 	 3 132,99 	 545,06 	 135,76 	 255,42 	 471,16 	 59,41 	 2 492,38 	 1 069,85 	 353,80 	 2 954,48 	 60,57 	 207,03 	 1 288,54 	 120,59 	 154,84 	 11,18 
03.11.2002	 2,14 	 966,40 	 253,24 	 1 887,00 	 1 882,19 	 21,77 	 12,22 	 1 212,57 	 6 256,22 	 41,02 	 3 132,99 	 545,06 	 135,76 	 255,42 	 471,16 	 59,41 	 2 492,38 	 1 069,85 	 353,80 	 2 954,48 	 60,57 	 207,03 	 1 288,54 	 120,59 	 154,84 	 11,18 
04.11.2002	 508,09 	 966,40 	 253,24 	 1 887,00 	 1 882,19 	 21,77 	 12,22 	 1 212,57 	 6 256,22 	 41,02 	 3 132,99 	 545,06 	 135,76 	 255,42 	 471,16 	 59,41 	 2 492,38 	 1 069,85 	 353,80 	 2 954,48 	 60,57 	 207,03 	 1 288,54 	 120,59 	 154,84 	 11,18 
05.11.2002	 2,14 	 964,30 	 252,76 	 1 888,00 	 1 877,99 	 21,73 	 12,22 	 1 214,62 	 6 256,21 	 41,04 	 3 127,64 	 543,87 	 135,58 	 255,15 	 472,30 	 59,42 	 2 504,24 	 1 070,96 	 354,02 	 2 943,11 	 60,91 	 206,66 	 1 283,96 	 120,04 	 154,38 	 11,28 
06.11.2002	 508,09 	 970,69 	 254,50 	 1 888,00 	 1 890,55 	 21,66 	 12,22 	 1 213,84 	 6 262,65 	 41,03 	 3 136,99 	 547,50 	 135,15 	 256,45 	 474,74 	 59,39 	 2 501,73 	 1 075,08 	 353,90 	 2 953,02 	 61,38 	 206,56 	 1 294,08 	 120,88 	 155,23 	 11,52 
07.11.2002	 2,14 	 965,06 	 253,01 	 1 888,00 	 1 880,35 	 21,63 	 12,23 	 1 212,51 	 6 256,84 	 41,03 	 3 128,68 	 544,47 	 135,05 	 255,45 	 474,37 	 59,42 	 2 511,44 	 1 071,21 	 353,94 	 2 941,60 	 61,04 	 205,98 	 1 284,66 	 120,19 	 154,16 	 11,51 
08.11.2002	 508,09 	 965,06 	 253,01 	 1 888,00 	 1 880,35 	 21,63 	 12,23 	 1 212,51 	 6 256,84 	 41,03 	 3 128,68 	 544,47 	 135,05 	 255,45 	 474,37 	 59,42 	 2 511,44 	 1 071,21 	 353,94 	 2 941,60 	 61,04 	 205,98 	 1 284,66 	 120,19 	 154,16 	 11,51 
09.11.2002	 2,14 	 965,06 	 253,01 	 1 888,00 	 1 880,35 	 21,63 	 12,23 	 1 212,51 	 6 256,84 	 41,03 	 3 128,68 	 544,47 	 135,05 	 255,45 	 474,37 	 59,42 	 2 511,44 	 1 071,21 	 353,94 	 2 941,60 	 61,04 	 205,98 	 1 284,66 	 120,19 	 154,16 	 11,51 
10.11.2002	 508,09 	 965,06 	 253,01 	 1 888,00 	 1 880,35 	 21,63 	 12,23 	 1 212,51 	 6 256,84 	 41,03 	 3 128,68 	 544,47 	 135,05 	 255,45 	 474,37 	 59,42 	 2 511,44 	 1 071,21 	 353,94 	 2 941,60 	 61,04 	 205,98 	 1 284,66 	 120,19 	 154,16 	 11,51 
11.11.2002	 2,14 	 965,06 	 253,01 	 1 888,00 	 1 880,35 	 21,63 	 12,23 	 1 212,51 	 6 256,84 	 41,03 	 3 128,68 	 544,47 	 135,05 	 255,45 	 474,37 	 59,42 	 2 511,44 	 1 071,21 	 353,94 	 2 941,60 	 61,04 	 205,98 	 1 284,66 	 120,19 	 154,16 	 11,51 
12.11.2002	 508,09 	 983,18 	 257,70 	 1 888,00 	 1 914,62 	 22,06 	 12,23 	 1 204,77 	 6 277,22 	 41,03 	 3 166,99 	 554,42 	 135,97 	 261,56 	 486,28 	 59,42 	 2 524,73 	 1 074,34 	 353,99 	 3 002,11 	 62,38 	 210,34 	 1 308,48 	 122,08 	 157,91 	 11,69 
13.11.2002	 2,14 	 980,46 	 257,00 	 1 889,00 	 1 908,93 	 22,13 	 12,23 	 1 201,46 	 6 279,71 	 41,06 	 3 164,95 	 552,89 	 136,05 	 261,66 	 482,38 	 59,36 	 2 536,28 	 1 071,10 	 354,20 	 3 002,38 	 62,21 	 210,16 	 1 304,60 	 122,06 	 158,13 	 11,54 
14.11.2002	 508,09 	 977,73 	 256,39 	 1 890,00 	 1 904,18 	 22,13 	 12,24 	 1 197,34 	 6 277,82 	 41,08 	 3 158,69 	 551,31 	 136,22 	 260,17 	 481,30 	 59,40 	 2 532,69 	 1 071,09 	 354,41 	 2 999,62 	 61,91 	 209,95 	 1 301,25 	 121,78 	 157,35 	 11,53 
15.11.2002	 1 063,97 	 976,68 	 256,11 	 1 891,00 	 1 902,16 	 22,17 	 12,25 	 1 200,56 	 6 280,10 	 41,11 	 3 160,36 	 550,75 	 136,29 	 260,12 	 481,08 	 59,43 	 2 531,23 	 1 074,04 	 354,60 	 2 995,34 	 61,94 	 209,34 	 1 297,69 	 121,53 	 157,45 	 11,68 
16.11.2002	 508,09 	 975,48 	 255,71 	 1 892,00 	 1 898,91 	 22,10 	 12,27 	 1 200,20 	 6 281,75 	 41,13 	 3 157,81 	 549,98 	 136,36 	 259,69 	 481,14 	 59,45 	 2 529,62 	 1 073,05 	 354,68 	 2 986,81 	 62,11 	 209,01 	 1 294,83 	 121,36 	 156,80 	 11,79 
17.11.2002	 508,09 	 975,48 	 255,71 	 1 892,00 	 1 898,91 	 22,10 	 12,27 	 1 200,20 	 6 281,75 	 41,13 	 3 157,81 	 549,98 	 136,36 	 259,69 	 481,14 	 59,45 	 2 529,62 	 1 073,05 	 354,68 	 2 986,81 	 62,11 	 209,01 	 1 294,83 	 121,36 	 156,80 	 11,79 
18.11.2002	 2,14 	 975,48 	 255,71 	 1 892,00 	 1 898,91 	 22,10 	 12,27 	 1 200,20 	 6 281,75 	 41,13 	 3 157,81 	 549,98 	 136,36 	 259,69 	 481,14 	 59,45 	 2 529,62 	 1 073,05 	 354,68 	 2 986,81 	 62,11 	 209,01 	 1 294,83 	 121,36 	 156,80 	 11,79 
19.11.2002	 2,14 	 979,51 	 257,00 	 1 893,00 	 1 908,62 	 22,24 	 12,28 	 1 196,89 	 6 285,28 	 41,15 	 3 163,70 	 552,86 	 136,19 	 260,86 	 483,19 	 59,48 	 2 522,73 	 1 072,83 	 354,91 	 2 992,64 	 62,41 	 210,50 	 1 299,78 	 122,03 	 156,24 	 11,94 
20.11.2002	 508,09 	 983,23 	 258,10 	 1 894,00 	 1 916,82 	 22,32 	 12,28 	 1 191,94 	 6 291,31 	 41,24 	 3 170,14 	 555,26 	 136,01 	 261,46 	 487,39 	 59,52 	 2 529,93 	 1 073,97 	 345,94 	 3 011,27 	 62,76 	 211,29 	 1 305,62 	 122,53 	 155,88 	 11,97 
21.11.2002	 1 059,21 	 973,47 	 255,65 	 1 895,00 	 1 898,79 	 22,15 	 12,29 	 1 196,49 	 6 286,91 	 41,26 	 3 155,44 	 549,97 	 135,99 	 258,71 	 483,12 	 59,55 	 2 536,32 	 1 070,98 	 355,32 	 2 986,24 	 62,00 	 208,92 	 1 293,34 	 121,33 	 154,80 	 11,94 
22.11.2002	 2,14 	 972,94 	 255,82 	 1 895,00 	 1 900,40 	 22,02 	 12,28 	 1 197,59 	 6 286,49 	 41,26 	 3 155,44 	 550,34 	 135,84 	 259,48 	 480,55 	 59,54 	 2 519,93 	 1 071,68 	 355,37 	 2 984,15 	 61,96 	 209,42 	 1 293,29 	 121,40 	 154,78 	 11,98 
23.11.2002	 508,09 	 972,78 	 255,88 	 1 896,00 	 1 900,74 	 22,07 	 12,29 	 1 201,22 	 6 288,97 	 41,28 	 3 158,68 	 550,59 	 135,82 	 260,11 	 482,25 	 59,58 	 2 522,19 	 1 071,07 	 355,42 	 2 999,09 	 61,97 	 210,86 	 1 291,25 	 121,46 	 154,62 	 12,05 
24.11.2002	 1 067,92 	 972,78 	 255,88 	 1 896,00 	 1 900,74 	 22,07 	 12,29 	 1 201,22 	 6 288,97 	 41,28 	 3 158,68 	 550,59 	 135,82 	 260,11 	 482,25 	 59,58 	 2 522,19 	 1 071,07 	 355,42 	 2 999,09 	 61,97 	 210,86 	 1 291,25 	 121,46 	 154,62 	 12,05 
25.11.2002	 2,14 	 972,78 	 255,88 	 1 896,00 	 1 900,74 	 22,07 	 12,29 	 1 201,22 	 6 288,97 	 41,28 	 3 158,68 	 550,59 	 135,82 	 260,11 	 482,25 	 59,58 	 2 522,19 	 1 071,07 	 355,42 	 2 999,09 	 61,97 	 210,86 	 1 291,25 	 121,46 	 154,62 	 12,05 
26.11.2002	 2,14 	 965,65 	 254,02 	 1 896,00 	 1 886,99 	 21,94 	 12,29 	 1 204,42 	 6 284,39 	 41,28 	 3 149,76 	 546,46 	 135,87 	 258,24 	 480,61 	 59,54 	 2 522,74 	 1 069,77 	 355,45 	 2 982,41 	 61,44 	 209,44 	 1 279,96 	 120,58 	 154,49 	 12,06 
27.11.2002	 508,09 	 963,09 	 253,22 	 1 898,00 	 1 880,63 	 21,92 	 12,30 	 1 206,07 	 6 289,77 	 41,25 	 3 149,95 	 544,78 	 136,01 	 257,86 	 475,83 	 59,61 	 2 513,05 	 1 074,44 	 355,82 	 2 966,48 	 61,07 	 207,98 	 1 276,18 	 120,20 	 155,68 	 12,22 
28.11.2002	 1 062,67 	 965,20 	 253,82 	 1 900,00 	 1 885,08 	 22,05 	 12,29 	 1 205,47 	 6 294,52 	 41,29 	 3 151,17 	 546,04 	 136,10 	 259,13 	 477,35 	 59,67 	 2 519,15 	 1 076,67 	 356,24 	 2 946,71 	 60,90 	 208,02 	 1 277,96 	 120,48 	 155,95 	 12,16 
29.11.2002	 2,14 	 966,93 	 254,27 	 1 902,00 	 1 888,21 	 22,08 	 12,30 	 1 207,93 	 6 302,19 	 41,34 	 3 156,58 	 546,93 	 136,25 	 258,86 	 476,44 	 59,74 	 2 519,79 	 1 079,03 	 348,67 	 2 952,86 	 60,95 	 208,42 	 1 280,25 	 120,73 	 155,67 	 12,27 
30.11.2002	 2,14 	 967,68 	 254,51 	 1 903,00 	 1 889,96 	 22,12 	 12,28 	 1 210,33 	 6 303,20 	 41,36 	 3 157,20 	 547,44 	 136,32 	 259,25 	 473,85 	 59,76 	 2 521,11 	 1 079,84 	 356,68 	 2 951,08 	 61,21 	 208,95 	 1 280,66 	 120,80 	 155,38 	 12,31 
01.12.2002	 508,09 	 967,68 	 254,51 	 1 903,00 	 1 889,96 	 22,12 	 12,28 	 1 210,33 	 6 303,20 	 41,36 	 3 157,20 	 547,44 	 136,32 	 259,25 	 473,85 	 59,76 	 2 521,11 	 1 079,84 	 356,68 	 2 951,08 	 61,21 	 208,95 	 1 280,66 	 120,80 	 155,38 	 12,31 
02.12.2002	 1 064,73 	 967,68 	 254,51 	 1 903,00 	 1 889,96 	 22,12 	 12,28 	 1 210,33 	 6 303,20 	 41,36 	 3 157,20 	 547,44 	 136,32 	 259,25 	 473,85 	 59,76 	 2 521,11 	 1 079,84 	 356,68 	 2 951,08 	 61,21 	 208,95 	 1 280,66 	 120,80 	 155,38 	 12,31 
03.12.2002	 1 070,71 		 254,47 	 1 904,00 	 1 889,34 	 22,21 	 12,29 	 1 218,91 	 6 302,55 	 41,38 	 3 156,24 	 547,36 	 136,05 	 259,63 	 476,60 	 59,79 	 2 522,44 	 1 075,71 	 356,69 	 2 963,39 	 61,26 	 209,59 	 1 279,35 	 120,79 	 153,63 	 12,52 
04.12.2002	 2,07 		 255,81 	 1 906,00 	 1 899,61 	 22,33 	 12,29 	 1 223,09 	 6 311,47 	 41,28 	 3 165,32 	 550,25 	 136,34 	 261,11 	 479,23 	 59,83 	 2 514,01 	 1 076,71 	 357,13 	 2 981,46 	 61,34 	 210,71 	 1 289,76 	 121,40 	 153,01 	 12,42 
05.12.2002	 0,39 		 257,27 	 1 908,00 	 1 910,77 	 22,42 	 12,29 	 1 222,37 	 6 324,79 	 41,33 	 3 176,56 	 553,41 	 136,48 	 262,87 	 479,52 	 59,89 	 2 527,07 	 1 077,14 	 357,60 	 2 999,76 	 61,53 	 210,90 	 1 297,61 	 122,10 	 153,08 	 12,29 
06.12.2002	 2,07 		 256,98 	 1 909,00 	 1 908,24 	 22,41 	 12,28 	 1 223,33 	 6 321,61 	 41,35 	 3 172,94 	 552,73 	 136,70 	 262,17 	 478,76 	 59,92 	 2 533,43 	 1 075,92 	 357,99 	 2 996,46 	 61,67 	 210,53 	 1 295,34 	 121,99 	 152,14 	 12,36 
07.12.2002	 977,72 		 257,09 	 1 909,00 	 1 910,34 	 22,29 	 12,25 	 1 221,68 	 6 325,17 	 41,35 	 3 179,28 	 553,37 	 136,65 	 262,93 	 478,40 	 59,92 	 2 528,78 	 1 077,01 	 358,01 	 2 998,37 	 61,74 	 210,95 	 1 298,07 	 122,08 	 153,15 	 12,30 
08.12.2002	 2,07 		 257,09 	 1 909,00 	 1 910,34 	 22,29 	 12,25 	 1 221,68 	 6 325,17 	 41,35 	 3 179,28 	 553,37 	 136,65 	 262,93 	 478,40 	 59,92 	 2 528,78 	 1 077,01 	 358,01 	 2 998,37 	 61,74 	 210,95 	 1 298,07 	 122,08 	 153,15 	 12,30 
09.12.2002	 2,07 		 257,09 	 1 909,00 	 1 910,34 	 22,29 	 12,25 	 1 221,68 	 6 325,17 	 41,35 	 3 179,28 	 553,37 	 136,65 	 262,93 	 478,40 	 59,92 	 2 528,78 	 1 077,01 	 358,01 	 2 998,37 	 61,74 	 210,95 	 1 298,07 	 122,08 	 153,15 	 12,30 
10.12.2002	 529,35 		 259,70 	 1 909,00 	 1 928,76 	 22,61 	 12,23 	 1 221,76 	 6 337,35 	 41,35 	 3 197,92 	 558,67 	 136,65 	 263,57 	 482,68 	 59,92 	 2 531,54 	 1 082,87 	 357,99 	 3 011,35 	 62,04 	 212,28 	 1 308,92 	 123,29 	 155,60 	 12,19 
11.12.2002	 0,39 		 260,61 	 1 910,00 	 1 935,40 	 22,65 	 12,23 	 1 223,73 	 6 341,93 	 41,34 	 3 206,58 	 560,61 	 136,72 	 264,06 	 485,20 	 59,95 	 2 547,41 	 1 082,46 	 358,13 	 3 023,34 	 62,20 	 212,69 	 1 313,35 	 123,69 	 154,98 	 12,20 
12.12.2002	 1 071,40 		 259,51 	 1 911,00 	 1 927,24 	 22,56 	 12,26 	 1 225,55 	 6 339,57 	 41,37 	 3 209,34 	 558,29 	 136,74 	 262,50 	 484,87 	 59,98 	 2 549,90 	 1 084,93 	 358,22 	 3 004,47 	 62,03 	 212,13 	 1 307,52 	 123,17 	 154,98 	 12,31 
13.12.2002	 994,00 		 260,86 	 1 912,00 	 1 937,14 	 22,85 	 12,28 	 1 229,98 	 6 347,31 	 41,39 	 3 212,64 	 561,07 	 136,82 	 263,33 	 488,66 	 59,98 	 2 545,52 	 1 086,61 	 358,22 	 3 017,90 	 62,15 	 213,00 	 1 312,78 	 123,78 	 155,54 	 12,24 
14.12.2002	 529,35 		 264,12 	 1 913,00 	 1 962,36 	 23,09 	 12,29 	 1 231,41 	 6 362,25 	 41,41 	 3 228,42 	 568,11 	 136,89 	 267,41 	 492,37 	 59,98 	 2 553,87 	 1 094,39 	 358,58 	 3 039,47 	 62,89 	 214,97 	 1 328,70 	 125,36 	 157,27 	 12,25 
