Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2003 по 31.12.2003																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLN)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2003	 1 084,13 		 268,41 	 1 920,00 	 1 993,63 	 23,46 	 12,33 	 1 230,69 	 6 392,12 	 41,56 	 3 271,15 	 577,50 	 138,13 	 273,41 		 60,41 	 2 585,53 	 1 103,51 	 359,85 	 3 074,98 	 63,60 	 218,14 	 1 370,69 	 127,40 	 159,95 	 11,51 
02.01.2003	 3,41 		 268,41 	 1 920,00 	 1 993,63 	 23,46 	 12,33 	 1 230,69 	 6 392,12 	 41,56 	 3 271,15 	 577,50 	 138,13 	 273,41 		 60,41 	 2 585,53 	 1 103,51 	 359,85 	 3 074,98 	 63,60 	 218,14 	 1 370,69 	 127,40 	 159,95 	 11,51 
03.01.2003	 2,07 		 268,41 	 1 920,00 	 1 993,63 	 23,46 	 12,33 	 1 230,69 	 6 392,12 	 41,56 	 3 271,15 	 577,50 	 138,13 	 273,41 		 60,41 	 2 585,53 	 1 103,51 	 359,85 	 3 074,98 	 63,60 	 218,14 	 1 370,69 	 127,40 	 159,95 	 11,51 
04.01.2003	 2,02 	 1 016,81 	 267,76 	 1 920,00 	 1 988,64 	 23,60 	 12,32 	 1 224,41 	 6 396,38 	 41,56 	 3 258,38 	 575,88 	 138,13 	 274,65 	 499,62 	 60,41 	 2 606,71 	 1 100,57 	 359,85 	 3 056,45 	 63,44 	 218,50 	 1 367,42 	 127,10 	 159,95 	 11,59 
05.01.2003	 2,02 	 1 016,81 	 267,76 	 1 920,00 	 1 988,64 	 23,60 	 12,32 	 1 224,41 	 6 396,38 	 41,56 	 3 258,38 	 575,88 	 138,13 	 274,65 	 499,62 	 60,41 	 2 606,71 	 1 100,57 	 359,85 	 3 056,45 	 63,44 	 218,50 	 1 367,42 	 127,10 	 159,95 	 11,59 
06.01.2003	 0,39 	 1 016,81 	 267,76 	 1 920,00 	 1 988,64 	 23,60 	 12,32 	 1 224,41 	 6 396,38 	 41,56 	 3 258,38 	 575,88 	 138,13 	 274,65 	 499,62 	 60,41 	 2 606,71 	 1 100,57 	 359,85 	 3 056,45 	 63,44 	 218,50 	 1 367,42 	 127,10 	 159,95 	 11,59 
07.01.2003	 2,02 	 1 016,81 	 267,76 	 1 920,00 	 1 988,64 	 23,60 	 12,32 	 1 224,41 	 6 396,38 	 41,56 	 3 258,38 	 575,88 	 138,13 	 274,65 	 499,62 	 60,41 	 2 606,71 	 1 100,57 	 359,85 	 3 056,45 	 63,44 	 218,50 	 1 367,42 	 127,10 	 159,95 	 11,59 
08.01.2003	 2,02 	 1 016,81 	 267,76 	 1 920,00 	 1 988,64 	 23,60 	 12,32 	 1 224,41 	 6 396,38 	 41,56 	 3 258,38 	 575,88 	 138,13 	 274,65 	 499,62 	 60,41 	 2 606,71 	 1 100,57 	 359,85 	 3 056,45 	 63,44 	 218,50 	 1 367,42 	 127,10 	 159,95 	 11,59 
09.01.2003	 0,39 	 1 023,72 	 269,46 	 1 923,00 	 2 002,52 	 23,69 	 12,34 	 1 230,64 	 6 413,42 	 41,76 	 3 265,69 	 579,88 	 138,30 	 277,08 	 500,46 	 60,31 	 2 602,17 	 1 103,27 	 360,43 	 3 078,82 	 63,89 	 221,00 	 1 372,84 	 127,92 	 160,02 	 11,42 
10.01.2003	 1 113,71 	 1 036,65 	 272,86 	 1 926,00 	 2 027,40 	 23,87 	 12,37 	 1 234,38 	 6 433,08 	 41,83 	 3 284,17 	 587,14 	 138,51 	 280,50 	 503,13 	 60,41 	 2 605,09 	 1 108,36 	 361,00 	 3 101,73 	 64,32 	 222,89 	 1 389,41 	 129,62 	 162,09 	 11,52 
11.01.2003	 2,02 	 1 038,03 	 273,22 	 1 930,00 	 2 030,07 	 23,90 	 12,40 	 1 245,16 	 6 443,21 	 41,91 	 3 285,95 	 587,91 	 138,80 	 280,25 	 504,91 	 60,63 	 2 623,97 	 1 109,35 	 361,74 	 3 105,56 	 64,21 	 222,09 	 1 389,64 	 129,78 	 161,34 	 11,57 
12.01.2003	 2,02 	 1 038,03 	 273,22 	 1 930,00 	 2 030,07 	 23,90 	 12,40 	 1 245,16 	 6 443,21 	 41,91 	 3 285,95 	 587,91 	 138,80 	 280,25 	 504,91 	 60,63 	 2 623,97 	 1 109,35 	 361,74 	 3 105,56 	 64,21 	 222,09 	 1 389,64 	 129,78 	 161,34 	 11,57 
13.01.2003	 0,39 	 1 038,03 	 273,22 	 1 930,00 	 2 030,07 	 23,90 	 12,40 	 1 245,16 	 6 443,21 	 41,91 	 3 285,95 	 587,91 	 138,80 	 280,25 	 504,91 	 60,63 	 2 623,97 	 1 109,35 	 361,74 	 3 105,56 	 64,21 	 222,09 	 1 389,64 	 129,78 	 161,34 	 11,57 
14.01.2003	 0,39 	 1 041,93 	 274,27 	 1 931,00 	 2 037,59 	 24,15 	 12,40 	 1 250,40 	 6 450,64 	 41,93 	 3 291,01 	 590,19 	 138,52 	 280,04 	 506,82 	 60,67 	 2 623,92 	 1 111,18 	 361,98 	 3 103,79 	 63,96 	 222,49 	 1 395,28 	 130,23 	 161,94 	 11,62 
15.01.2003	 1 129,83 	 1 045,23 	 275,13 	 1 932,00 	 2 044,44 	 24,34 	 12,42 	 1 254,14 	 6 455,28 	 41,64 	 3 294,96 	 592,10 	 138,59 	 278,17 	 507,32 	 60,69 	 2 628,00 	 1 114,70 	 362,15 	 3 093,61 	 64,38 	 222,77 	 1 398,33 	 130,68 	 163,00 	 11,60 
16.01.2003	 1 128,77 	 1 040,22 	 273,54 	 1 932,00 	 2 032,75 	 24,21 	 12,43 	 1 252,80 	 6 453,34 	 41,64 	 3 298,34 	 588,84 	 138,59 	 277,47 	 506,29 	 60,73 	 2 633,43 	 1 113,80 	 362,10 	 3 095,74 	 64,01 	 221,57 	 1 388,63 	 129,90 	 163,54 	 11,58 
17.01.2003	 1 133,12 	 1 046,14 	 275,03 	 1 933,00 	 2 044,82 	 24,28 	 12,44 	 1 259,61 	 6 459,91 	 41,67 	 3 311,35 	 590,39 	 137,97 	 280,95 	 510,23 	 60,77 	 2 629,56 	 1 115,92 	 362,29 	 3 102,18 	 64,64 	 222,52 	 1 397,64 	 130,69 	 164,06 	 11,61 
18.01.2003	 1 144,44 	 1 054,32 	 277,22 	 1 934,00 	 2 060,68 	 24,48 	 12,45 	 1 263,31 	 6 471,91 	 41,69 	 3 319,89 	 596,88 	 137,95 	 283,20 	 509,15 	 60,77 	 2 636,10 	 1 116,43 	 362,58 	 3 127,08 	 65,54 	 224,74 	 1 412,14 	 131,71 	 164,18 	 11,63 
