Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2004 по 31.12.2004																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLN)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
02.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
03.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
04.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
05.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
06.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
07.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
08.01.2004	 1 609,78 	 1 377,81 	 362,04 	 2 156,00 	 2 695,22 	 30,12 	 15,00 	 1 646,68 	 7 314,18 	 48,79 	 4 030,66 	 780,81 	 167,13 	 319,75 	 573,43 	 73,19 	 2 946,67 	 1 267,01 	 404,20 	 3 826,79 	 82,82 	 293,51 	 1 727,56 	 172,21 	 201,55 	 15,38 
09.01.2004	 1 651,60 	 1 386,27 	 364,04 	 2 156,00 	 2 711,49 	 30,66 	 15,14 	 1 665,70 	 7 312,44 	 48,79 	 4 046,17 	 785,11 	 163,02 	 314,86 	 581,52 	 74,00 	 2 946,67 	 1 271,60 	 404,12 	 3 906,13 	 83,76 	 298,36 	 1 727,70 	 173,27 	 203,12 	 15,75 
10.01.2004	 1 667,73 	 1 402,80 	 368,33 	 2 154,00 	 2 743,66 	 30,84 	 15,10 	 1 680,58 	 7 304,17 	 48,74 	 4 066,45 	 794,35 	 162,87 	 315,58 	 584,18 	 74,30 	 2 943,94 	 1 269,07 	 403,79 	 3 949,68 	 84,65 	 300,52 	 1 750,44 	 175,31 	 201,92 	 15,80 
